sort,species,replicate,use,type,branch,length_mm,stem_weight_mg*10,leaf_count,count_per_stem_length,diameter_base,diameter_top,notes,percent_shed,tip_weight_mg*10,leaf_weight_mg*10,image_file,total_leaf_area,area_per_leaf,area_per_stem_length
1,BAER,A,yes,,1,86,3955,63,0.73255814,272,253, ,,,1987,BAER A-1.tiff,7.816,0.124,0.09
2,BAER,A,yes,,1.1,16,,15,0.9375,missing,missing, ,,,299,BAER A-1-1.tiff,1.247,0.083,0.08
3,BAER,A,yes,,1.2,69,1016,83,1.202898551,165,129, ,,,2288,BAER A-1-2.tiff,9.316,0.112,0.14
8,BAER,A,yes,,1.3,90,1547,120,1.333333333,187,148,up%shed ,,,3848,BAER A-1-3.tiff,16.248,0.135,0.19
12,BAER,A,yes,,1.4,36,224,43,1.194444444,95,88, ,,,1144,BAER A-1-4.tiff,4.508,0.105,0.13
14,BAER,A,yes,,1.5,47,278,59,1.255319149,86,63, ,,,1218,BAER A-1-5.tiff,5.132,0.087,0.11
4,BAER,A,yes,,1.2.1,89,340,95,1.06741573,83,81, ,,,3010,BAER A-1-2-1.tiff,13.127,0.138,0.15
5,BAER,A,yes,,1.2.2,72,262,87,1.208333333,79,66, ,,,2495,BAER A-1-2-2.tiff,11.539,0.133,0.16
6,BAER,A,yes,,1.2.3,54,170,65,1.203703704,75,63, ,,,1427,BAER A-1-2-3.tiff,6.609,0.102,0.12
7,BAER,A,yes,,1.2.4,30,61,37,1.233333333,71,47, ,,,696,BAER A-1-2-4.tiff,3.333,0.09,0.11
9,BAER,A,yes,,1.3.1,110,671,147,1.336363636,102,78,up%shed ,,,5327,BAER A-1-3-1.tiff,22.883,0.156,0.22
10,BAER,A,yes,,1.3.2,69,291,94,1.362318841,68,52, ,,,2525,BAER A-1-3-2.tiff,11.37,0.121,0.16
11,BAER,A,yes,,1.3.3,75,273,89,1.186666667,74,49, ,,,2693,BAER A-1-3-3.tiff,11.417,0.128,0.15
13,BAER,A,yes,,1.4.1,21,102,37,1.761904762,84,71, ,,,833,BAER A-1-4-1.tiff,3.775,0.102,0.18
15,BAER,A,yes,,1.5.1,25,49,39,1.56,52,, ,,,642,BAER A-1-5-1.tiff,3.274,0.084,0.13
16,BAER,A,yes,,1.5.2,15,44,28,1.866666667,49,, ,,,340,BAER A-1-5-2.tiff,1.764,0.063,0.12
17,BAER,A,yes,,1.5.3,15,30,26,1.733333333,51,, ,,,392,BAER A-1-5-3.tiff,1.91,0.073,0.13
18,BAER,B,yes,,1,204,5400,312,1.529411765,254,200, ,,,8598,BAER B-1.tif,36.735,0.118,0.18
19,BAER,B,yes,,1.1,67,328,111,1.656716418,85,85, ,,,2364,BAER B-1-1.tif,11.864,0.107,0.18
20,BAER,B,yes,,1.2,57,229,93,1.631578947,83,76, ,,,1794,BAER B-1-2.tif,8.77,0.094,0.15
21,BAER,B,yes,,1.3,43,143,62,1.441860465,74,64, ,,,1273,BAER B-1-3.tif,6.311,0.102,0.15
22,BAER,B,yes,,1.4,67,414,109,1.626865672,90,88, ,,,2246,BAER B-1-4.tif,11.176,0.103,0.17
23,BAER,B,yes,,1.5,30,156,54,1.8,77,72, ,,,1132,BAER B-1-5.tif,5.283,0.098,0.18
24,BAER,B,yes,,1.6,77,351,133,1.727272727,99,86, ,,,2502,BAER B-1-6.tif,12.63,0.095,0.16
25,BAER,B,yes,,1.7,66,322,118,1.787878788,91,71, ,,,1955,BAER B-1-7.tif,10.197,0.086,0.15
28,BAER,C,yes,,1,182,3447,214,1.175824176,212,146, ,,,6362,BAER C-1-3-X.tiff,26.247,0.123,0.15
29,BAER,C,yes,,1.1,57,245,83,1.456140351,94,69, ,,,1643,BAER C-1-1.tiff,8.13,0.098,0.14
30,BAER,C,yes,,1.2,64,264,102,1.59375,93,74, ,,,1995,BAER C-1-2.tiff,10.095,0.099,0.16
31,BAER,C,yes,,1.3,47,177,75,1.595744681,95,75, ,,,1408,BAER C-1-3.tiff,7.036,0.094,0.15
26,BAER,C,yes,,1.4,26,84,40,1.538461538,77,57, ,,,749,BAER C-1-4.tiff,3.601,0.09,0.14
27,BAER,C,yes,,1.5,34,95,48,1.411764706,78,59, ,,,824,BAER C-1-5.tiff,4.084,0.085,0.12
32,BAER,D,yes,,1,48,2047,49,1.020833333,272,234,up%shed ,,,1219,BAER D-1.tif,4.581,0.093,0.11
33,BAER,D,yes,,1.1,129,1451,158,1.224806202,156,131, ,,,4805,BAER D-1-1.tif,18.871,0.119,0.15
39,BAER,D,yes,,1.2,79,876,98,1.240506329,147,100, ,,,2925,BAER D-1-2.tif,10.976,0.112,0.14
44,BAER,D,yes,,1.3,132,1229,176,1.333333333,143,92, ,,,5330,BAER D-1-3.tif,20.934,0.119,0.16
34,BAER,D,yes,,1.1.1,50,137,65,1.3,75,55, ,,,1486,BAER D-1-1-1.tif,6.942,0.107,0.14
35,BAER,D,yes,,1.1.2,38,103,41,1.078947368,63,54, ,,,866,BAER D-1-1-2.tif,4.04,0.099,0.11
36,BAER,D,yes,,1.1.3,44,84,56,1.272727273,64,55, ,,,1278,BAER D-1-1-3.tif,5.768,0.103,0.13
37,BAER,D,yes,,1.1.4,32,65,42,1.3125,61,56, ,,,832,BAER D-1-1-4.tif,3.995,0.095,0.12
38,BAER,D,yes,,1.1.5,52,130,67,1.288461538,75,54, ,,,1571,BAER D-1-1-5.tif,7.052,0.105,0.14
40,BAER,D,yes,,1.2.1,90,693,97,1.077777778,116,116, ,,,3136,BAER D-1-2-1.tif,12.401,0.128,0.14
41,BAER,D,yes,,1.2.2,27,104,46,1.703703704,97,50, ,,,1113,BAER D-1-2-2.tif,5.122,0.111,0.19
42,BAER,D,yes,,1.2.3,31,78,46,1.483870968,62,55, ,,,907,BAER D-1-2-3.tif,4.127,0.09,0.13
43,BAER,D,yes,,1.2.4,33,85,43,1.303030303,68,54, ,,,839,BAER D-1-2-4.tif,3.822,0.089,0.12
45,BAER,E,yes,,1.1,25,382,39,1.56,144,133, ,,,558,BAER E-1-1.tif,2.615,0.067,0.1
46,BAER,E,yes,,1.1.1,57,217,72,1.263157895,77,76, ,,,1390,BAER E-1-1-1B.tif,6.447,0.09,0.11
47,BAER,E,yes,,1.1.2,118,665,165,1.398305085,123,97, ,,,3970,BAER E-1-1-2.tif,19.959,0.121,0.17
48,BAER,E,yes,,1.1.3,92,410,131,1.423913043,91,84, ,,,2640,BAER E-1-1-3.tif,13.091,0.1,0.14
49,BAER,E,yes,x,1+1X,272,14735,276,1.014705882,350,287, ,,,8262,BAER E-1.tif,32.686,0.118,0.12
682,BOLE,A,no,,2.1,30,246,,,63,62,"4 LEAVES, includes tip ",,,,,,,
684,BOLE,A,no,,3.1,22,269,,,67,64,"6 LEAVES, includes tip ",,,,,,,
305,BOLE,A,no,,4,49,316,,,87,81,"with tiny, tiny tip leaves ",,,736,,,,0
680,BOLE,A,no,x,1.X,37,499,,,140,128, ,,,,,,,
681,BOLE,A,no,x,2.X,76,744,,,125,106, ,,,,,,,
683,BOLE,A,no,x,3.X,18,141,,,112,102, ,,,,,,,
692,BOLE,B,no,x,1.1.X,28,119,,,73,71, ,,,,,,,
696,BOLE,B,no,tip,1.2.X.TIP,6,156,,,,,5 small leaves ,,,,,,,
697,BOLE,B,no,x,1.X,83,1235,,,148,122, ,,,,,,,
699,BOLE,B,no,,3.1.SIDES.A,12,176,,,50,,4 leaves ,,,,,,,
700,BOLE,B,no,,3.1.SIDES.B,8,85,,,44,,2 leaves ,,,,,,,
694,BOLE,B,no,x,2.1.X,35,171,,,79,69, ,,,,,,,
695,BOLE,B,no,x,2.2.X,21,106,,,73,70, ,,,,,,,
698,BOLE,B,no,x,2.X,37,426,,,153,121, ,,,,,,,
702,BOLE,B,no,,4.SIDES.A,26,385,,,,,1 shoot ,,,,,,,
702,BOLE,B,no,,4.SIDES.B,25,285,,,,,1 shoot ,,,,,,,
702,BOLE,B,no,,4.SIDES.C,20,297,,,,,3 shoots ,,,,,,,
701,BOLE,B,no,x,4.X,17,168,,,117,86, ,,,,,,,
685,BOLE,C,no,x,1.X,90,1180,,,145,130, ,,,,,,,
691,BOLE,D,no,,2.4,28,110,,,74,,8 LEAVES ,,,286,,,,
688,BOLE,D,no,,2.1.SIDES.A,9,126,,,51,,tiny tip ,,,,,,,
