sort,species,replicate,use,type,branch,length_mm,stem_weight_mg*10,leaf_count,count_per_stem_length,diameter_base,diameter_top,notes,percent_shed,tip_weight_mg*10,leaf_weight_mg*10,image_file,total_leaf_area,area_per_leaf,area_per_stem_length
337,PILI,D,yes,,1,90,,6,0.066666667,95,80, ,,,88,PILI-D-1.jpg,0.812,0.135,0.01
338,PILI,D,yes,,2,33,,9,0.272727273,67,62, ,,,93,PILI-D-2.jpg,0.95,0.106,0.03
339,PILI,D,yes,,3,18,,9,0.5,15,14, ,,,92,PILI-D-3.jpg,1.306,0.145,0.07
341,PILI,E,yes,,2,105,,20,0.19047619,67,66, ,,,427,PILI-E-2.jpg,4.794,0.24,0.05
342,PILI,E,yes,,3,50,,14,0.28,39,18,?; has shrunk ,,,150,PILI-E-3.jpg,2.264,0.162,0.04
935,PUTU,D,no,,3.3,124,,,,116,,30%SHED; INC LEAVES ,0.3,,,,,,
953,PUTU,E,no,,3.4,59,,,,93,88,30%SHED; INCLUDES 9MM TIP ,0.3,,,,,,
931,PUTU,D,no,,3.4,92,,,,93,,40%SHED; INCLUDES TIP ,0.4,,,,,,
944,PUTU,E,no,,3.5,54,,,,97,93,50%SHED ,0.5,,,,,,
926,PUTU,C,no,x,1.1.X,26,,,,97,97,WITH LEAVES; 75%SHED ,0.75,,,,,,
951,PUTU,E,no,x,1.3.X,17,,,,109,79,80%SHED ,0.8,,,,,,
945,PUTU,E,no,x,2.X,78,,,,184,181,80%SHED ,0.8,,,,,,
939,PUTU,D,no,,1.2,140,,,,96,,90%SHED ,0.9,,,,,,
916,PUTU,A,no,,2.1,37,,,,69,,WITH LEAVES ,,,,,,,
354,PUTU,A,no,tip,1.1.TIP,8,,,,,, ,,,59,,,,0
913,PUTU,A,no,x,1.1.X,102,,,,107,99, ,,,,,,,
355,PUTU,A,no,tip,1.2.TIP,7,,,,,, ,,,41,,,,0
914,PUTU,A,no,x,1.2.X,67,,,,100,85, ,,,,,,,
356,PUTU,A,no,tip,1.3.TIP,6,,,,,, ,,,45,,,,0
915,PUTU,A,no,x,1.3.X,108,,,,89,50, ,,,,,,,
912,PUTU,A,no,x,1.X,167,,,,181,106, ,,,,,,,
350,PUTU,A,no,tip,2.2.TIP,10,,,,,, ,,,52,,,,0
917,PUTU,A,no,x,2.2.X,33,,,,106,88, ,,,,,,,
918,PUTU,A,no,x,2.3.X,30,,,,96,78, ,,,,,,,
357,PUTU,A,no,tip,2.4.TIP,12,,,,,, ,,,75,,,,0
919,PUTU,A,no,x,2.4.X,26,,,,94,94, ,,,,,,,
921,PUTU,A,no,tip,2.5.TIP,5,,,,,, ,,,,,,,
920,PUTU,A,no,x,2.5.X,42,,,,109,102, ,,,,,,,
362,PUTU,B,no,tip,1.1.TIP,10,,,,,, ,,,129,,,,0
924,PUTU,B,no,tip,1.2.TIP,11,,,,,, ,,,,,,,
922,PUTU,B,no,x,1.X,83,,,,162,151, ,,,,,,,
923,PUTU,B,no,,1.Y,25,,,,134,116, ,,,,,,,
363,PUTU,B,no,tip,2.TIP,14,,,,,, ,,,207,,,,0
927,PUTU,C,no,tip,1.1.TIP,5,,,,,, ,,,,,,,
925,PUTU,C,no,x,1.X,69,,,,176,159, ,,,,,,,
928,PUTU,C,no,,2.1.SIDE,5,,,,,, ,,,,,,,
929,PUTU,C,no,tip,2.2.TIP,11,,,,,, ,,,,,,,
930,PUTU,C,no,tip,2.3.TIP,10,,,,,, ,,,,,,,
371,PUTU,C,no,tip,4.TIP,15,,,,,, ,,,141,,,,0
940,PUTU,D,no,,1.3,48,,,,77,, ,,,,,,,
932,PUTU,D,no,,3.7,68,,,,101,,INCLUDES TIPS ,,,,,,,
958,PUTU,D,no,,1.1.1,42,,,,,,WITH LEAVES ,,,,,,,
941,PUTU,D,no,x,1.1.X,59,,,,111,109, ,,,,,,,
957,PUTU,D,no,x,1.X,55,,,,239,233,NO LEAVES ,,,,,,,
381,PUTU,D,no,tip,2.1.1.TIP,13,,,,,, ,,,151,,,,0
938,PUTU,D,no,tip,2.1.1.TIP,13,,,,,, ,,,,,,,
937,PUTU,D,no,tip,2.1.2.TIP,17,,,,,, ,,,,,,,
936,PUTU,D,no,x,2.X,114,,,,223,173, ,,,,,,,
382,PUTU,D,no,tip,3.1.TIP,12,,,,,, ,,,167,,,,0
934,PUTU,D,no,tip,3.2.TIP,13,,,,,, ,,,,,,,
933,PUTU,D,no,tip,3.5.TIP,19,,,,,, ,,,,,,,
383,PUTU,D,no,tip,3.6.TIP,11,,,,,, ,,,165,,,,0
942,PUTU,D,no,x,3.6.X,17,,,,101,, ,,,,,,,
943,PUTU,D,no,x,3.6.X.X,9,,,,141,, ,,,,,,,
398,PUTU,E,no,tip,1.1.TIP,10,,,,,, ,,,77,,,,0
396,PUTU,E,no,tip,1.2.TIP,10,,,,,, ,,,75,,,,0
949,PUTU,E,no,x,1.2.X,27,,,,107,87, ,,,,,,,
950,PUTU,E,no,tip,1.3.TIP,7,,,,,, ,,,,,,,
947,PUTU,E,no,tip,1.4.TIP,17,,,,,, ,,,,,,,
948,PUTU,E,no,x,1.4.X,28,,,,118,106, ,,,,,,,
946,PUTU,E,no,x,1.X,72,,,,281,235, ,,,,,,,
954,PUTU,E,no,tip,2.1.TIP,7,,,,,, ,,,,,,,
397,PUTU,E,no,tip,3.1.1.TIP,12,,,,,, ,,,150,,,,0
956,PUTU,E,no,tip,3.1.1.TIP,29,,,,,,TIP+SIDE ,,,,,,,
952,PUTU,E,no,tip,3.2.TIPS,24,,,,,,SIDE+2TIPS ,,,,,,,
346,PUTU,A,yes,,1.1,39,,48,1.230769231,94,56, 5% SHED,,,677,PUTU-A-1-1.jpg,8.193,0.171,0.21
347,PUTU,A,yes,,1.2,28,,37,1.321428571,99,62, ,,,461,PUTU-A-1-2.jpg,5.717,0.155,0.2
348,PUTU,A,yes,,1.3,28,,38,1.357142857,103,74, ,,,483,PUTU-A-1-3.jpg,5.734,0.151,0.2
349,PUTU,A,yes,,2.2,35,,52,1.485714286,105,44, ,,,699,PUTU-A-2-2.jpg,7.62,0.147,0.22
351,PUTU,A,yes,,2.3,37,,47,1.27027027,90,53, ,,,691,PUTU-A-2-3.jpg,6.776,0.144,0.18
352,PUTU,A,yes,,2.4,35,,51,1.457142857,127,118, ,,,706,PUTU-A-2-4.jpg,6.919,0.136,0.2
353,PUTU,A,yes,,2.5,37,,55,1.486486486,107,52, ,,,750,PUTU-A-2-5.jpg,7.99,0.145,0.24
358,PUTU,B,no,,1,95,,67,0.705263158,137,137, 10% SHED,,,2394,PUTU-B-1.jpg,16.433,0.245,0.17
360,PUTU,B,yes,,1.1,40,,57,1.425,87,75, ,,,720,PUTU-B-1-1.jpg,6.889,0.121,0.17
361,PUTU,B,yes,,1.2,36,,53,1.472222222,80,62, ,,,679,PUTU-B-1-2.jpg,6.68,0.126,0.19
359,PUTU,B,yes,,2,60,,109,1.816666667,109,95, ,,,1763,PUTU-B-2.jpg,14.768,0.135,0.25
364,PUTU,C,yes,,1.1,32,,60,1.875,106,92, ,,,606,PUTU-C-1-1.jpg,6.171,0.103,0.19
