parts_fewer_yet,energy
aborted_fruit_seed,20
bract,18
bud,18
calyx,18
cone,18
finished_flower,18
fruit_immature,20
fruit_mature,20
fruit_seed_immature,20
green_parts,17.6
petals,18
seed,22
seed_pod,18
