flower_part,sort,BAER,BOLE,COER,EPMI,GRBU,GRSP,HATE,HEPU,LEES,PELA,PEPU,PHPH,PILI,PUTU
fruit_aborted,40,,,,,,,shriveled fruit that is shedding early,"aborted fruit, including calyx; based on weight, this has aborted quite early","brown, round, dry fruit, but much small than ""mature fruit""; calyx separate",,very small fruit; don't contain a seed and the seed pod is quite small; determination based on weight,aborted or wormy fruit,empty seed pod or seed pod with aborting fruit,"aborted, small, usually flattened fruit"
fruit_empty,41,,,,,,,,,,,"full sized fruit, but much lighter weight, because no seed (or a very small seed) inside; determined based on weight",,,
fruit_mature,42,,,bright orange fruit; bract a separate part,,,,,"mature, dry fruit; set of 4 from a single flower counted as ""1""","brown, round, plump, dry fruit; calyx separate; seed fused to fruit, so this is the dispersal unit",,"dry, full fruit; considered ""viable"" (vesus aborted or empty) based on weight; for tagged plants, actual fruit removed from cone; seed fused to fruit, so this is the dispersal unit",,,
calyx_fruit,43,,,,,,,,"calyx from a young fruit, large immature fruit or mature fruit",calyx and pedicel from a large immature fruit or mature fruit,,,,,
bract_fruit,44,,,"bract from a young fruit, large immature fruit or mature fruit",,,,,,,,,,,
pedicel,45,,pedicel from a flower or finished flower,,,"pedicel from a mature fruit; considered a separate part once at ""fruit large immature"" as this is when they start expanding","pedicel from a mature fruit; considered a separate part once at ""fruit large immature"" as this is when they start expanding",,,,"pedicel in flower, finished flower or fruit",,,,
seed_pod,46,"mature seed pod, including papery layer between seeds; removed from cone",seed pod once fruit is large and black,,"mature fruit, including calyx and pedicel (because they are fused to the fruit and therefore part of the dispersal unit); weight of seeds subtracted off",seed pod once seed is mature; varies considerably by length; does not include pedicel,seed pod once seed is mature; varies considerably by length; does not include pedicel,hardened seed pods with mature or immature seeds removed,,,combination of various outer fruit layers (fleshy and woody) removed from mature seed,,seed pod from around seed or aborted seed,black seed pod from around seed or aborted seed,seed pod from around seed or aborted seed
seed_immature,47,,,,,,,"immature seed; already large, but not yet full weight or hardened",,,,,,,
seed_aborted,48,"aborted, flat seeds; for tagged plants, removed and weighed actual seeds from cones",,,,seeds that are quite flat and much lighter than others of similar length,seeds that are quite flat and much lighter than others of similar length,"aborted seeds removed from pods; considered ""aborted"" by weight",,,,,"flat, lightweight seed; seeds determined ""aborted"" either visually or by weight",,"flat, lightweight seed; seeds determined ""aborted"" either visually or by weight"
seed,49,"fully mature seeds; for tagged plants, removed and weighed actual seeds from cones","smooth, glossy black seed",,seed,mature seeds weighed from pod; all mature seeds similar weight regardless of pod length,mature seeds weighed from pod; all mature seeds similar weight regardless of pod length,"mature seeds removed from pods; considered ""viable"" based on weight",,,"seed with fleshy and woody layers removed; since seed size variable with fruit size, use regression equation to calculate seed weight",,"round, healthy seed; seeds determined ""viable"" by weight","round, healthy, white-colored seed","round, healthy seed; seeds determined ""viable"" by weight"
cone_just_starting_01,50,,,,,,,,,,,"very young cone; just a mound of ""cone"" starting to form; can stay at this stage through several size transitions",,,
cone_just_starting_02,51,,,,,,,,,,,"very young cone; just a mound of ""cone"" starting to form; can stay at this stage through several size transitions",,,
cone_just_starting_03,52,,,,,,,,,,,"very young cone; just a mound of ""cone"" starting to form; can stay at this stage through several size transitions",,,
cone_just_starting_04,53,,,,,,,,,,,"very young cone; just a mound of ""cone"" starting to form; can stay at this stage through several size transitions",,,
cone_just_starting_05,54,,,,,,,,,,,"very young cone; just a mound of ""cone"" starting to form; can stay at this stage through several size transitions",,,
cone_young_01,55,"young cone that is still quite skinny and mostly lengthening, although some increase in width as well; base included in length at this stage",,,,,,,,,,young cone that is in the process of lengthening; can stay at this stage through several size transitions,,,
cone_young_02,56,"young cone that is still quite skinny and mostly lengthening, although some increase in width as well; base included in length at this stage",,,,,,,,,,young cone that is in the process of lengthening; can stay at this stage through several size transitions,,,
cone_young_03,57,"young cone that is still quite skinny and mostly lengthening, although some increase in width as well; base included in length at this stage",,,,,,,,,,young cone that is in the process of lengthening; can stay at this stage through several size transitions,,,
cone_young_04,58,"young cone that is still quite skinny and mostly lengthening, although some increase in width as well; base included in length at this stage",,,,,,,,,,young cone that is in the process of lengthening; can stay at this stage through several size transitions,,,
cone_green_01,59,"young cone that is no beginning to widen, as well as lengthen; usually at ""tiny_bud"" stage, but on some robust plants, reach this stage before buds begin expanding; can stay at this stage through several size transitions; base weighed separately at this stage",,,,,,,,,,green cone with large buds or in flower; can stay at this stage through several size transitions,,,
cone_green_02,60,"young cone that is no beginning to widen, as well as lengthen; usually at ""tiny_bud"" stage, but on some robust plants, reach this stage before buds begin expanding; can stay at this stage through several size transitions; base weighed separately at this stage",,,,,,,,,,green cone with large buds or in flower; can stay at this stage through several size transitions,,,
cone_green_03,61,"young cone that is no beginning to widen, as well as lengthen; usually at ""tiny_bud"" stage, but on some robust plants, reach this stage before buds begin expanding; can stay at this stage through several size transitions; base weighed separately at this stage",,,,,,,,,,green cone with large buds or in flower; can stay at this stage through several size transitions,,,
cone_green_04,62,"young cone that is no beginning to widen, as well as lengthen; usually at ""tiny_bud"" stage, but on some robust plants, reach this stage before buds begin expanding; can stay at this stage through several size transitions; base weighed separately at this stage",,,,,,,,,,green cone with large buds or in flower; can stay at this stage through several size transitions,,,
cone_brown_no_expanded_follicles,63,"mature, dry cone where no follicles matured; quite skinny and floppy compared to ""cone_brown""",,,,,,,,,,"mature, dry cone where no follicles matured; quite skinny compared to ""cone_brown""",,,
cone_brown,64,"mature, dry cone containing at least some mature follicles",,,,,,,,,,"mature, dry cone containing at least come ""mature"" fruit, although all the fruit might be empty or aborted",,,
cone_aborted,65,"cone that has aborted long before flowering; usually transitions to this from a small-sized ""cone_green""",,,,,,,,,,cone that has aborted either before flowering or at the start of flowering,,,
cone_base_green_01,66,base of a growing cone; woody section that elevates cone above branch and has no flowers,,,,,,,,,,,,,
cone_base_green_02,67,base of a growing cone; woody section that elevates cone above branch and has no flowers,,,,,,,,,,,,,
cone_base_green_03,68,base of a growing cone; woody section that elevates cone above branch and has no flowers,,,,,,,,,,,,,
cone_base_green_04,69,base of a growing cone; woody section that elevates cone above branch and has no flowers,,,,,,,,,,,,,
cone_base_brown,70,base of a mature cone; woody section that elevates cone above branch and has no flowers,,,,,,,,,,,,,
