species,Waratah2003,Basin2005,Basin1981
BAER,4,,
BOLE,,4,
COER,4,,
EPMI,4,,
GRBU,4,,
GRSP,4,,
HATE,7,,
HEPU,4,,
LEES,3,,
PELA,4,,
PEPU,,,4
PHPH,5,3,
PILI,,4,
PUTU,,3,
