individual,species,dry_mass_inv_prepollination_all,dry_mass_inv_postpollination_all,N_inv_prepollination_all,N_inv_postpollination_all,P_inv_prepollination_all,P_inv_postpollination_all,N_inv_propagule,P_inv_propagule,seed_count2,N_inv_per_packaging_dispersal_success,N_inv_per_prepollination_success,N_inv_per_propagule,scaled_N_content_per_packaging_dispersal_success,scaled_N_content_per_prepollination_success,scaled_N_content_per_propagule,P_inv_per_packaging_dispersal_success,P_inv_per_prepollination_success,P_inv_per_propagule,scaled_P_content_per_packaging_dispersal_success,scaled_P_content_per_prepollination_success,scaled_P_content_per_propagule,N_content_prepollination_all,N_content_postpollination_all,P_content_prepollination_all,P_content_postpollination_all
BAER_001,BAER,24985.12362027528,0,500.9857666887891,0,6.55912311499992,0,0,0,0,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.020051362334755154,0,2.625211391660768e-4,0
BAER_002,BAER,8894.89,0,183.9880546,0,2.68296102491,0,0,0,0,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.020684691390225177,0,3.01629477701242e-4,0
BAER_003,BAER,144.64091662859497,0,3.533577593236575,0,0.0339187288721554,0,0,0,0,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.02443,0,2.3450299999999995e-4,0
BAER_004,BAER,8027.70541928508,0,158.82159040805516,0,1.9109218547953073,0,0,0,0,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.019784182666508367,0,2.380408541405456e-4,0
BAER_005,BAER,76570.90493325627,6993.83043836937,1517.0046178770015,170.85927760936372,19.923991327026506,1.6400742192889322,0,0,0,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.019811762956168696,0.002231386422274815,2.6020315868531833e-4,2.141902620477736e-5
BAER_006,BAER,11846.05,0,242.922253,0,3.61092848255,0,0,0,0,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.02050660372022742,0,3.0482131027220044e-4,0
BAER_007,BAER,17692.03551255833,11771.36,376.518834935927,264.757095,4.187738827678482,2.6251080862799996,3.672875844736901,0.31373230584231143,2,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.021281826767115788,0.01496476167550464,2.3670192300404895e-4,1.4837795709920546e-4
BAER_404,BAER,3984.04,0,86.7873754,0,1.12322459684,0,0,0,0,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.021783761056615898,0,2.8193105411592254e-4,0
BAER_801,BAER,21251.1347107438,0,466.91108555206614,0,5.919996106370083,0,0,0,0,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.021971113162066253,0,2.785731767714572e-4,0
BAER_803,BAER,62518.88393765016,55051.820972645706,1417.9434160479043,1327.231680580334,14.746414516851662,12.804945384365253,47.74738598157971,4.078519975950049,26,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.022680241980359308,0.02122929260707816,2.3587136538710774e-4,2.0481724205338622e-4
BAER_806,BAER,49783.83408976747,6697.56,944.5608947676226,163.6213908,11.881329899980233,1.5705979126799998,0,0,0,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.018973245272038357,0.003286636993546277,2.3865839417985512e-4,3.154835181733862e-5
BAER_807,BAER,34670.71037189333,31737.230723628123,813.4792842901159,754.9355783689264,8.158505994178194,7.321469905787102,55.09313767105352,4.7059845876346715,30,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.02346301173423845,0.021774447949613793,2.3531407077231648e-4,2.111716150968292e-4
BAER_901,BAER,223728.90853478035,232022.00127514193,5262.700600048176,5047.227883602688,52.63487822830353,50.70860833562759,987.4911787111109,84.35021971677111,174,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.0235226669388147,0.022559569599911844,2.3526185584604967e-4,2.2665201679891337e-4
BAER_902,BAER,14546.708563392636,3680.1279138930004,292.9400747779678,89.90552493640601,4.130012374623549,0.8630010361916503,0,0,0,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.020137893977965782,0.006180471997813773,0.00028391387348041653,5.932620650443402e-5
BAER_903,BAER,75873.30024367754,63527.05017730118,1742.973003600979,1541.0831861198365,17.878130086478606,14.83274736207653,29.38300675789521,2.5098584467384915,16,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.022972152232777293,0.020311271305853782,2.3563137531991532e-4,1.954936362915429e-4
BAER_905,BAER,18405.321047619047,16675.1,295.16528067809526,407.372693,4.433739154271905,3.9103609752999997,0,0,0,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.016036953656740398,0.02213341956633235,2.408944208471421e-4,2.1245817800096743e-4
BAER_906,BAER,69932.05873541198,84027.15085200408,1613.4129427150035,1495.9247170752042,16.482864419637426,16.390284470738887,224.04542652895094,19.137670656380994,122,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.023071148939277666,0.021391115092650667,2.3569825796206518e-4,2.343744023431592e-4
BAER_907,BAER,73088.29176245985,31813.4,1332.179744283865,777.2013620000001,19.174072494268387,7.4603377402,0,0,0,22.558381829607093,2.633295654823796,1.8364379223684506,0.015518206530914977,0.021907599469613067,0.09605999999999999,0.2583928351905874,0.02585157364582583,0.15686615292115572,1.8165412159415435e-4,2.4104383484878795e-4,0.008205321,0.018226992479363283,0.010633732753338095,2.6234123184305585e-4,1.0207295259337055e-4
BOLE_001,BOLE,1231.458328588488,529.2935217695434,22.302586461705914,9.824754021266013,0.575848562878608,0.2326078327841918,3.643029583333334,0.15946410720833334,20,0.13734440705109002,0.0709395,0.18215147916666666,0.014716202077374353,0.0180019113905908,0.03169,0.0026420250215130722,0.0016536128625,0.007973205360416666,2.7531269532298224e-4,4.304658626905635e-4,0.001387147,0.018110711458072155,0.00797814574247694,4.6761514337123557e-4,1.8888810720116663e-4
