species,replicate,individual,site,age,age_exact,date_tagged,mature,use_for_allocation_calculations,use_for_allometric_equations,use_for_fit,alive,reason
BAER,1,BAER_001,Basin2005,7,7,15-Mar-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,2,BAER_002,Basin2005,7,7,1-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,3,BAER_003,Basin2005,7,7,3-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,4,BAER_004,Basin2005,7,7,3-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,5,BAER_005,Basin2005,7,7,3-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,6,BAER_006,Basin2005,7,7,3-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,7,BAER_007,Basin2005,7,7,3-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,101,BAER_101,Waratah2011,1.4,1.4,3-May-12,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,102,BAER_102,Waratah2011,1.4,1.4,3-May-12,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,103,BAER_103,Waratah2011,1.4,1.4,3-May-12,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,104,BAER_104,Waratah2011,1.4,1.4,3-May-12,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,105,BAER_105,Waratah2011,1.4,1.4,4-May-12,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,106,BAER_106,Waratah2011,1.4,1.4,4-May-12,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,107,BAER_107,Waratah2011,1.4,1.4,4-May-12,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,151,BAER_151,Waratah2011,2.4,2.4,14-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,152,BAER_152,Waratah2011,2.4,2.4,14-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,153,BAER_153,Waratah2011,2.4,2.4,14-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,154,BAER_154,Waratah2011,2.4,2.4,14-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,155,BAER_155,Waratah2011,2.4,2.4,14-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,156,BAER_156,Waratah2011,2.4,2.4,14-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,157,BAER_157,Waratah2011,2.4,2.4,18-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,201,BAER_201,Bobbin2010,3,3,10-May-12,FALSE,FALSE,FALSE,FALSE,TRUE,
BAER,202,BAER_202,Bobbin2010,3,3,10-May-12,FALSE,FALSE,FALSE,FALSE,TRUE,
BAER,203,BAER_203,Bobbin2010,3,3,10-May-12,FALSE,FALSE,FALSE,FALSE,TRUE,
BAER,203b,BAER_203b,Bobbin2010,3,3,10-May-12,FALSE,FALSE,FALSE,FALSE,TRUE,
BAER,204,BAER_204,Bobbin2010,3,3,10-May-12,FALSE,FALSE,FALSE,FALSE,TRUE,
BAER,205,BAER_205,Bobbin2010,3,3,10-May-12,FALSE,FALSE,FALSE,FALSE,TRUE,
BAER,206,BAER_206,Bobbin2010,3,3,10-May-12,FALSE,FALSE,FALSE,FALSE,TRUE,
BAER,207,BAER_207,Bobbin2010,3,3,25-May-12,FALSE,FALSE,FALSE,FALSE,TRUE,
BAER,301,BAER_301,Wilunga2012,1.4,1.35,18-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,302,BAER_302,Wilunga2012,1.4,1.35,18-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,303,BAER_303,Wilunga2012,1.4,1.35,18-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,306,BAER_306,Wilunga2012,1.4,1.35,18-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,308,BAER_308,Wilunga2012,1.4,1.35,18-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,309,BAER_309,Wilunga2012,1.4,1.35,27-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,311,BAER_311,Wilunga2012,1.4,1.35,27-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,315,BAER_315,Wilunga2012,1.4,1.35,27-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,401,BAER_401,Basin2007,5,5,20-Apr-12,FALSE,TRUE,FALSE,FALSE,TRUE,
BAER,402,BAER_402,Basin2007,5,5,20-Apr-12,FALSE,TRUE,FALSE,FALSE,TRUE,
BAER,403,BAER_403,Basin2007,5,5,26-Apr-12,FALSE,TRUE,FALSE,FALSE,TRUE,
BAER,404,BAER_404,Basin2007,5,5,26-Apr-12,TRUE,TRUE,FALSE,FALSE,TRUE,
BAER,405,BAER_405,Basin2007,5,5,27-Apr-12,FALSE,TRUE,FALSE,FALSE,TRUE,
BAER,406,BAER_406,Basin2007,5,5,27-Apr-12,FALSE,TRUE,FALSE,FALSE,TRUE,
BAER,407,BAER_407,Basin2007,5,5,27-Apr-12,FALSE,TRUE,FALSE,FALSE,TRUE,
BAER,801,BAER_801,Waratah2003,9,9,17-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,802,BAER_802,Waratah2003,9,9,17-May-12,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,803,BAER_803,Waratah2003,9,9,17-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,804,BAER_804,Waratah2003,9,9,17-May-12,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,805,BAER_805,Waratah2003,9,9,17-May-12,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,806,BAER_806,Waratah2003,9,9,17-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,807,BAER_807,Waratah2003,9,9,17-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,901,BAER_901,Basin1981,32,32,14-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,902,BAER_902,Basin1981,32,32,14-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,903,BAER_903,Basin1981,32,32,14-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,904,BAER_904,Basin1981,32,32,14-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,905,BAER_905,Basin1981,32,32,14-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,906,BAER_906,Basin1981,32,32,14-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,907,BAER_907,Basin1981,32,32,19-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BAER,B-01,BAER_B-01,baby,0.1,0.1,28-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,B-02,BAER_B-02,baby,0.1,0.1,28-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,B-03,BAER_B-03,baby,0.1,0.1,28-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,B-04,BAER_B-04,baby,0.1,0.1,28-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER ,B-05,BAER_B-05,baby,0.1,0.1,28-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,B-06,BAER_B-06,baby,0.1,0.1,28-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,B-09,BAER_B-09,baby,0.1,0.1,22-Jan-14,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,B-099,BAER_B-099,baby,0.1,0.1,22-Jan-14,FALSE,TRUE,TRUE,TRUE,TRUE,
BAER,B-10,BAER_B-10,baby,0.1,0.1,22-Jan-14,FALSE,TRUE,TRUE,TRUE,TRUE,
BOLE,1,BOLE_001,Basin2005,7,7,15-Mar-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,2,BOLE_002,Basin2005,7,7,23-Mar-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,3,BOLE_003,Basin2005,7,7,23-Mar-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,4,BOLE_004,Basin2005,7,7,23-Mar-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,6,BOLE_006,Basin2005,7,7,3-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,7,BOLE_007,Basin2005,7,7,3-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,8,BOLE_008,Basin2005,7,7,1-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,101,BOLE_101,Waratah2011,1.4,1.4,4-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,105,BOLE_105,Waratah2011,1.4,1.4,4-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,110,BOLE_110,Waratah2011,1.4,1.4,15-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,111,BOLE_111,Waratah2011,1.4,1.4,15-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,112,BOLE_112,Waratah2011,1.4,1.4,15-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,113,BOLE_113,Waratah2011,1.4,1.4,18-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,114,BOLE_114,Waratah2011,1.4,1.4,9-Aug-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,115,BOLE_115,Waratah2011,1.4,1.4,9-Aug-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,116,BOLE_116,Waratah2011,1.4,1.4,30-Aug-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,117,BOLE_117,Waratah2011,1.4,1.4,2-Nov-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,119,BOLE_119,Waratah2011,1.4,1.4,29-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,151,BOLE_151,Waratah2011,2.4,2.4,14-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,152,BOLE_152,Waratah2011,2.4,2.4,14-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,153,BOLE_153,Waratah2011,2.4,2.4,14-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,154,BOLE_154,Waratah2011,2.4,2.4,14-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,155,BOLE_155,Waratah2011,2.4,2.4,14-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,156,BOLE_156,Waratah2011,2.4,2.4,14-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,157,BOLE_157,Waratah2011,2.4,2.4,14-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,201,BOLE_201,Bobbin2010,3,3,25-May-12,TRUE,FALSE,FALSE,FALSE,TRUE,
BOLE,202,BOLE_202,Bobbin2010,3,3,25-May-12,TRUE,FALSE,FALSE,FALSE,TRUE,
BOLE,203,BOLE_203,Bobbin2010,3,3,25-May-12,TRUE,FALSE,FALSE,FALSE,TRUE,
BOLE,204,BOLE_204,Bobbin2010,3,3,25-May-12,TRUE,FALSE,FALSE,FALSE,TRUE,
BOLE,205,BOLE_205,Bobbin2010,3,3,25-May-12,TRUE,FALSE,FALSE,FALSE,TRUE,
BOLE,206,BOLE_206,Bobbin2010,3,3,25-May-12,TRUE,FALSE,FALSE,FALSE,TRUE,
BOLE,207,BOLE_207,Bobbin2010,3,3,25-May-12,TRUE,FALSE,FALSE,FALSE,TRUE,
BOLE,303,BOLE_303,Wilunga2012,1.4,1.35,18-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BOLE,305,BOLE_305,Wilunga2012,1.4,1.35,18-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,306,BOLE_306,Wilunga2012,1.4,1.35,18-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,307,BOLE_307,Wilunga2012,1.4,1.35,27-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,308,BOLE_308,Wilunga2012,1.4,1.35,27-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,313,BOLE_313,Wilunga2012,1.4,1.35,27-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,316,BOLE_316,Wilunga2012,1.4,1.35,27-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,317,BOLE_317,Wilunga2012,1.4,1.35,28-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,401,BOLE_401,Basin2007,5,5,20-Apr-12,TRUE,TRUE,FALSE,FALSE,TRUE,
BOLE,402,BOLE_402,Basin2007,5,5,20-Apr-12,TRUE,TRUE,FALSE,FALSE,TRUE,
BOLE,403,BOLE_403,Basin2007,5,5,20-Apr-12,TRUE,TRUE,FALSE,FALSE,TRUE,
BOLE,404,BOLE_404,Basin2007,5,5,26-Apr-12,TRUE,TRUE,FALSE,FALSE,TRUE,
BOLE,405,BOLE_405,Basin2007,5,5,27-Apr-12,TRUE,TRUE,FALSE,FALSE,TRUE,
BOLE,407,BOLE_407,Basin2007,5,5,27-Apr-12,TRUE,TRUE,FALSE,FALSE,TRUE,
BOLE,408,BOLE_408,Basin2007,5,5,1-Jun-12,TRUE,TRUE,FALSE,FALSE,TRUE,
BOLE,801,BOLE_801,Waratah2003,9,9,15-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,802,BOLE_802,Waratah2003,9,9,15-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,803,BOLE_803,Waratah2003,9,9,15-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,804,BOLE_804,Waratah2003,9,9,15-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,805,BOLE_805,Waratah2003,9,9,15-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,806,BOLE_806,Waratah2003,9,9,15-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,807,BOLE_807,Waratah2003,9,9,15-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
BOLE,B-01,BOLE_B-01,baby,0.1,0.1,28-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BOLE,B-02,BOLE_B-02,baby,0.1,0.1,28-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BOLE,B-03,BOLE_B-03,baby,0.1,0.1,28-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BOLE,B-04,BOLE_B-04,baby,0.1,0.1,28-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
BOLE,B-07,BOLE_B-07,baby,0.1,0.1,22-Jan-14,FALSE,TRUE,TRUE,TRUE,TRUE,
BOLE,B-08,BOLE_B-08,baby,0.1,0.1,22-Jan-14,FALSE,TRUE,TRUE,TRUE,TRUE,
BOLE,B-10,BOLE_B-10,baby,0.1,0.1,22-Jan-14,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,1,COER_001,Basin2005,7,7,15-Mar-12,TRUE,TRUE,TRUE,TRUE,TRUE,
COER,2,COER_002,Basin2005,7,7,15-Mar-12,TRUE,FALSE,FALSE,FALSE,FALSE,
COER,3,COER_003,Basin2005,7,7,15-Mar-12,TRUE,TRUE,TRUE,TRUE,TRUE,
COER,4,COER_004,Basin2005,7,7,16-Mar-12,TRUE,FALSE,FALSE,FALSE,FALSE,
COER,5,COER_005,Basin2005,7,7,23-Mar-12,TRUE,TRUE,TRUE,TRUE,TRUE,
COER,6,COER_006,Basin2005,7,7,23-Mar-12,TRUE,FALSE,FALSE,FALSE,FALSE,
COER,7,COER_007,Basin2005,7,7,23-Mar-12,TRUE,FALSE,FALSE,FALSE,FALSE,
COER,101,COER_101,Waratah2011,1.4,1.4,,FALSE,FALSE,FALSE,FALSE,FALSE,
xx,103,COER_103,Waratah2011,1.4,1.4,9-Aug-12,NA,FALSE,FALSE,FALSE,NA,wrong species
xx,104,COER_104,Waratah2011,1.4,1.4,4-May-12,NA,FALSE,FALSE,FALSE,NA,wrong species
xx,111,COER_111,Waratah2011,1.4,1.4,15-Jun-12,NA,FALSE,FALSE,FALSE,NA,wrong species
xx,112,COER_112,Waratah2011,1.4,1.4,15-Jun-12,NA,FALSE,FALSE,FALSE,NA,wrong species
xx,115,COER_115,Waratah2011,1.4,1.4,2-Nov-12,NA,FALSE,FALSE,FALSE,NA,wrong species
xx,151,COER_151,Waratah2011,2.4,2.4,,NA,FALSE,FALSE,FALSE,NA,wrong species
COER,152,COER_152,Waratah2011,2.4,2.4,14-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,153,COER_153,Waratah2011,2.4,2.4,14-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,154,COER_154,Waratah2011,2.4,2.4,14-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,155,COER_155,Waratah2011,2.4,2.4,,FALSE,FALSE,FALSE,FALSE,FALSE,
COER,156,COER_156,Waratah2011,2.4,2.4,14-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
COER,157,COER_157,Waratah2011,2.4,2.4,14-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
