species,replicate,individual,site,age,age_exact,date_tagged,mature,use_for_allocation_calculations,use_for_allometric_equations,use_for_fit,alive,reason
COER,158,COER_158,Waratah2011,2.4,2.4,14-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,159,COER_159,Waratah2011,2.4,2.4,14-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,159b,COER_159b,Waratah2011,2.4,2.4,18-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,160,COER_160,Waratah2011,1.4,1.4,21-Jan-14,FALSE,FALSE,FALSE,FALSE,FALSE,
COER,321,COER_321,Wilunga2012,1.4,1.35,3-Sep-13,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,322,COER_322,Wilunga2012,1.4,1.35,3-Sep-13,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,324,COER_324,Wilunga2012,1.4,1.35,3-Sep-13,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,327,COER_327,Wilunga2012,1.4,1.35,3-Sep-13,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,320,COER_320,Wilunga2012,1.4,1.35,1-Feb-14,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,322,COER_332,Wilunga2012,1.4,1.35,1-Feb-14,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,324,COER_334,Wilunga2012,1.4,1.35,1-Feb-14,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,325,COER_325,Wilunga2012,1.4,1.35,1-Feb-14,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,327,COER_337,Wilunga2012,1.4,1.35,1-Feb-14,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,401,COER_401,Basin2007,5,5,27-Apr-12,TRUE,TRUE,FALSE,FALSE,TRUE,
COER,402,COER_402,Basin2007,5,5,27-Apr-12,FALSE,TRUE,FALSE,FALSE,TRUE,
COER,403,COER_403,Basin2007,5,5,27-Apr-12,TRUE,TRUE,FALSE,FALSE,TRUE,
COER,404,COER_404,Basin2007,5,5,27-Apr-12,TRUE,TRUE,FALSE,FALSE,TRUE,
COER,405,COER_405,Basin2007,5,5,27-Apr-12,FALSE,TRUE,FALSE,FALSE,TRUE,
COER,406,COER_406,Basin2007,5,5,27-Apr-12,FALSE,TRUE,FALSE,FALSE,TRUE,
COER,407,COER_407,Basin2007,5,5,27-Apr-12,TRUE,TRUE,FALSE,FALSE,TRUE,
COER,801,COER_801,Waratah2003,9,9,11-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
COER,802,COER_802,Waratah2003,9,9,11-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
COER,803,COER_803,Waratah2003,9,9,11-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
COER,804,COER_804,Waratah2003,9,9,11-May-12,TRUE,FALSE,FALSE,FALSE,TRUE,near death
COER,805,COER_805,Waratah2003,9,9,15-Jun-12,TRUE,FALSE,FALSE,FALSE,FALSE,
COER,806,COER_806,Waratah2003,9,9,17-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
COER,807,COER_807,Waratah2003,9,9,17-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
COER,B-01,COER_B-01,baby,0.1,0.1,22-Jan-14,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,B-02,COER_B-02,baby,0.1,0.1,22-Jan-14,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,B-03,COER_B-03,baby,0.1,0.1,22-Jan-14,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,B-04,COER_B-04,baby,0.1,0.1,22-Jan-14,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,B-05,COER_B-05,baby,0.1,0.1,27-Jan-14,FALSE,TRUE,TRUE,TRUE,TRUE,
COER,B-06,COER_B-06,baby,0.1,0.1,27-Jan-14,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,1,EPMI_001,Basin2005,7,7,24-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,2,EPMI_002,Basin2005,7,7,24-May-12,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,3,EPMI_003,Basin2005,7,7,24-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,4,EPMI_004,Basin2005,7,7,24-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,5,EPMI_005,Basin2005,7,7,24-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,6,EPMI_006,Basin2005,7,7,24-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,7,EPMI_007,Basin2005,7,7,24-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,101,EPMI_101,Waratah2011,1.4,1.4,15-Jun-12,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,102,EPMI_102,Waratah2011,1.4,1.4,15-Jun-12,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,104,EPMI_104,Waratah2011,1.4,1.4,15-Jun-12,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,105,EPMI_105,Waratah2011,1.4,1.4,15-Jun-12,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,106,EPMI_106,Waratah2011,1.4,1.4,15-Jun-12,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,108,EPMI_108,Waratah2011,1.4,1.4,29-Jun-12,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,109,EPMI_109,Waratah2011,1.4,1.4,2-Nov-12,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,111,EPMI_111,Waratah2011,1.4,1.4,3-May-12,FALSE,FALSE,FALSE,FALSE,TRUE,
EPMI,112,EPMI_112,Waratah2011,1.4,1.4,3-May-12,FALSE,FALSE,FALSE,FALSE,TRUE,
EPMI,113,EPMI_113,Waratah2011,1.4,1.4,4-May-12,FALSE,FALSE,FALSE,FALSE,TRUE,
EPMI,116,EPMI_116,Waratah2011,1.4,1.4,9-Aug-12,FALSE,FALSE,FALSE,FALSE,TRUE,
EPMI,151,EPMI_151,Waratah2011,2.4,2.4,14-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,152,EPMI_152,Waratah2011,2.4,2.4,14-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,153,EPMI_153,Waratah2011,2.4,2.4,14-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,154,EPMI_154,Waratah2011,2.4,2.4,14-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,155,EPMI_155,Waratah2011,2.4,2.4,14-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,156,EPMI_156,Waratah2011,2.4,2.4,18-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,157,EPMI_157,Waratah2011,2.4,2.4,18-Jun-13,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,302,EPMI_302,Wilunga2012,1.4,1.35,27-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,304,EPMI_304,Wilunga2012,1.4,1.35,27-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,307,EPMI_307,Wilunga2012,1.4,1.35,28-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,310,EPMI_310,Wilunga2012,1.4,1.35,28-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,311,EPMI_311,Wilunga2012,1.4,1.35,28-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,312,EPMI_312,Wilunga2012,1.4,1.35,28-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,313,EPMI_313,Wilunga2012,1.4,1.35,28-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,314,EPMI_314,Wilunga2012,1.4,1.35,28-Jun-13,FALSE,TRUE,TRUE,TRUE,TRUE,
EPMI,401,EPMI_401,Basin2007,5,5,1-Jun-12,TRUE,TRUE,FALSE,FALSE,TRUE,
EPMI,402,EPMI_402,Basin2007,5,5,1-Jun-12,TRUE,TRUE,FALSE,FALSE,TRUE,
EPMI,403,EPMI_403,Basin2007,5,5,1-Jun-12,TRUE,TRUE,FALSE,FALSE,TRUE,
EPMI,404,EPMI_404,Basin2007,5,5,1-Jun-12,TRUE,TRUE,FALSE,FALSE,TRUE,
EPMI,405,EPMI_405,Basin2007,5,5,1-Jun-12,TRUE,TRUE,FALSE,FALSE,TRUE,
EPMI,406,EPMI_406,Basin2007,5,5,1-Jun-12,TRUE,TRUE,FALSE,FALSE,TRUE,
EPMI,407,EPMI_407,Basin2007,5,5,1-Jun-12,TRUE,TRUE,FALSE,FALSE,TRUE,
EPMI,801,EPMI_801,Waratah2003,9,9,18-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,802,EPMI_802,Waratah2003,9,9,18-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,803,EPMI_803,Waratah2003,9,9,18-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,804,EPMI_804,Waratah2003,9,9,18-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,805,EPMI_805,Waratah2003,9,9,18-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,806,EPMI_806,Waratah2003,9,9,18-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,807,EPMI_807,Waratah2003,9,9,18-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,808,EPMI_808,Waratah2003,9,9,28-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,901,EPMI_901,Basin1981,32,32,31-May-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,902,EPMI_902,Basin1981,32,32,7-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,903,EPMI_903,Basin1981,32,32,7-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,904,EPMI_904,Basin1981,32,32,7-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,905,EPMI_905,Basin1981,32,32,8-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
EPMI,906,EPMI_906,Basin1981,32,32,8-Jun-12,TRUE,TRUE,TRUE,TRUE,TRUE,
