species,individual,seedset,embryo_endo_costs,prop_N_prepollen_success_vs_all_prepollen,prop_N_postpollen_success_vs_all_postpollen,prop_P_prepollen_success_vs_all_prepollen,prop_P_postpollen_success_vs_all_postpollen,N_inv_per_packaging_dispersal_success,N_inv_per_prepollination_success,N_inv_per_propagule,P_inv_per_packaging_dispersal_success,P_inv_per_prepollination_success,P_inv_per_propagule,N_inv_one_successful_unit,N_prop_pollen_attract_vs_success,N_prop_provision_vs_success,P_inv_one_successful_unit,P_prop_pollen_attract_vs_success,P_prop_provision_vs_success
BAER,BAER_404,0,0,0,NA,0,NA,22.558381829607093,2.633295654823796,1.8364379223684506,0.2583928351905874,0.02585157364582583,0.15686615292115572,27.02811540679934,0.09742801579725939,0.8346265172425668,0.441110561757569,0.05860565555905609,0.5857779377601894
BAER,BAER_004,0,0,0,NA,0,NA,22.558381829607093,2.633295654823796,1.8364379223684506,0.2583928351905874,0.02585157364582583,0.15686615292115572,27.02811540679934,0.09742801579725939,0.8346265172425668,0.441110561757569,0.05860565555905609,0.5857779377601894
BAER,BAER_002,0,0,0,NA,0,NA,22.558381829607093,2.633295654823796,1.8364379223684506,0.2583928351905874,0.02585157364582583,0.15686615292115572,27.02811540679934,0.09742801579725939,0.8346265172425668,0.441110561757569,0.05860565555905609,0.5857779377601894
BAER,BAER_003,0,0,0,NA,0,NA,22.558381829607093,2.633295654823796,1.8364379223684506,0.2583928351905874,0.02585157364582583,0.15686615292115572,27.02811540679934,0.09742801579725939,0.8346265172425668,0.441110561757569,0.05860565555905609,0.5857779377601894
BAER,BAER_001,0,0,0,NA,0,NA,22.558381829607093,2.633295654823796,1.8364379223684506,0.2583928351905874,0.02585157364582583,0.15686615292115572,27.02811540679934,0.09742801579725939,0.8346265172425668,0.441110561757569,0.05860565555905609,0.5857779377601894
BAER,BAER_005,0,0,0,0,0,0,22.558381829607093,2.633295654823796,1.8364379223684506,0.2583928351905874,0.02585157364582583,0.15686615292115572,27.02811540679934,0.09742801579725939,0.8346265172425668,0.441110561757569,0.05860565555905609,0.5857779377601894
BAER,BAER_006,0,0,0,NA,0,NA,22.558381829607093,2.633295654823796,1.8364379223684506,0.2583928351905874,0.02585157364582583,0.15686615292115572,27.02811540679934,0.09742801579725939,0.8346265172425668,0.441110561757569,0.05860565555905609,0.5857779377601894
BAER,BAER_007,0.002036659877800407,13.629888216435683,9.091441425278174e-4,0.6115578016283856,8.993755944109171e-4,0.7220074134234823,22.558381829607093,2.633295654823796,1.8364379223684506,0.2583928351905874,0.02585157364582583,0.15686615292115572,27.02811540679934,0.09742801579725939,0.8346265172425668,0.441110561757569,0.05860565555905609,0.5857779377601894
BAER,BAER_801,0,0,0,NA,0,NA,22.558381829607093,2.633295654823796,1.8364379223684506,0.2583928351905874,0.02585157364582583,0.15686615292115572,27.02811540679934,0.09742801579725939,0.8346265172425668,0.441110561757569,0.05860565555905609,0.5857779377601894
BAER,BAER_803,0.013360739979445015,13.629888216435683,0.003878628036893978,0.5212042685424048,0.004103475370123681,0.6323837499105448,22.558381829607093,2.633295654823796,1.8364379223684506,0.2583928351905874,0.02585157364582583,0.15686615292115572,27.02811540679934,0.09742801579725939,0.8346265172425668,0.441110561757569,0.05860565555905609,0.5857779377601894
BAER,BAER_806,0,0,0,0,0,0,22.558381829607093,2.633295654823796,1.8364379223684506,0.2583928351905874,0.02585157364582583,0.15686615292115572,27.02811540679934,0.09742801579725939,0.8346265172425668,0.441110561757569,0.05860565555905609,0.5857779377601894
BAER,BAER_807,0.05,13.629888216435683,0.010394785051764536,0.5721232333408568,0.011403879244740173,0.6905655745399264,22.558381829607093,2.633295654823796,1.8364379223684506,0.2583928351905874,0.02585157364582583,0.15686615292115572,27.02811540679934,0.09742801579725939,0.8346265172425668,0.441110561757569,0.05860565555905609,0.5857779377601894
BAER,BAER_906,0.07142857142857142,13.629888216435683,0.017830424187442472,0.7917850877300876,0.019203295336560757,0.8459297398109651,22.558381829607093,2.633295654823796,1.8364379223684506,0.2583928351905874,0.02585157364582583,0.15686615292115572,27.02811540679934,0.09742801579725939,0.8346265172425668,0.441110561757569,0.05860565555905609,0.5857779377601894
BAER,BAER_905,0,0,0,0,0,0,22.558381829607093,2.633295654823796,1.8364379223684506,0.2583928351905874,0.02585157364582583,0.15686615292115572,27.02811540679934,0.09742801579725939,0.8346265172425668,0.441110561757569,0.05860565555905609,0.5857779377601894
BAER,BAER_901,0.04790748898678414,43.30604834567901,0.009664552149773714,0.6278486196117182,0.01063207448418799,0.7315262151077708,22.558381829607093,2.633295654823796,1.8364379223684506,0.2583928351905874,0.02585157364582583,0.15686615292115572,27.02811540679934,0.09742801579725939,0.8346265172425668,0.441110561757569,0.05860565555905609,0.5857779377601894
BAER,BAER_902,0,0,0,0,0,0,22.558381829607093,2.633295654823796,1.8364379223684506,0.2583928351905874,0.02585157364582583,0.15686615292115572,27.02811540679934,0.09742801579725939,0.8346265172425668,0.441110561757569,0.05860565555905609,0.5857779377601894
BAER,BAER_903,0.008138351983723296,13.629888216435683,0.002101945710426139,0.5604608108321455,0.002254713151735303,0.6816374793047165,22.558381829607093,2.633295654823796,1.8364379223684506,0.2583928351905874,0.02585157364582583,0.15686615292115572,27.02811540679934,0.09742801579725939,0.8346265172425668,0.441110561757569,0.05860565555905609,0.5857779377601894
