species,seeds_per_propagule
BAER,1
BOLE,1
COER,1
EMPI,1
GRBU,1
GRSP,1
HATE,1
HEPU,1
LEES,1
PELA,1
PEPU,1
PHPH,1
PILI,1
PUTU,1
