species,sort,part,accessory_part,parts_fewer,parts_fewer_yet,parts_to_match,required_for_success,proportion_nut_mix,mg_dry_mass,number_of_seeds_linked_to_dry_mass
BAER,11,bud_big,prepollination_abort,bud,bud,bud,,1,7.045289256,
BAER,12,bud_just_opening,prepollination_abort,bud,bud,bud,,1,9.542572614,
BAER,10,bud_mid,prepollination_abort,bud,bud,bud,,1,6.029885057,
BAER,9,bud_small,prepollination_abort,bud,bud,bud,,1,3.697794118,
BAER,8,bud_tiny,prepollination_abort,bud,bud,bud,,1,2.868055556,
BAER,19,flower_style,prepollination_success,style,bud,bud,required,1,4.508730159,
BAER,57,cone_aborted,prepollination_abort,cone_aborted,cone,cone,,1,264.1333333,
BAER,62,cone_base_brown,prepollination_success,cone_base_brown,cone,cone,required,0.125,360.7646154,100
BAER,62,cone_base_brown,packaging_dispersal,cone_base_brown,cone,cone,required,0.875,360.7646154,11.8
BAER,58,cone_base_green_01,prepollination_abort,cone_base_green,cone,cone,,1,NA,1000
BAER,59,cone_base_green_02,prepollination_abort,cone_base_green,cone,cone,,1,NA,1000
BAER,60,cone_base_green_03,prepollination_abort,cone_base_green,cone,cone,,1,NA,1000
BAER,61,cone_base_green_04,prepollination_abort,cone_base_green,cone,cone,,1,NA,1000
BAER,56,cone_brown,prepollination_success,cone_brown,cone,cone,required,0.125,53443.57143,100
BAER,56,cone_brown,packaging_dispersal,cone_brown,cone,cone,required,0.875,53443.57143,11.8
BAER,55,cone_brown_no_expanded_follicles,postpollination_abort,cone_green,cone,cone,,1,5800.792308,100
BAER,51,cone_green_01,prepollination_abort,cone_green,cone,cone,,1,NA,1000
BAER,52,cone_green_02,prepollination_abort,cone_green,cone,cone,,1,NA,1000
BAER,53,cone_green_03,prepollination_abort,cone_green,cone,cone,,1,NA,1000
BAER,54,cone_green_04,prepollination_abort,cone_green,cone,cone,,1,NA,1000
BAER,47,cone_young_01,postpollination_abort,cone_green,cone,cone,,1,NA,100
BAER,48,cone_young_02,postpollination_abort,cone_green,cone,cone,,1,NA,100
BAER,49,cone_young_03,postpollination_abort,cone_green,cone,cone,,1,NA,100
BAER,50,cone_young_04,postpollination_abort,cone_green,cone,cone,,1,NA,100
BAER,21,finished_flower_stigma,prepollination_success,stigma,fruit_seed_immature,fruit_seed_immature,,1,9.67,
BAER,15,flower_stigma,prepollination_success,stigma,fruit_seed_immature,fruit_seed_immature,,1,1.526666667,
BAER,27,fruit_just_starting,postpollination_abort,fruit_immature,fruit_seed_immature,fruit_seed_immature,,1,200.71,
BAER,28,fruit_young,postpollination_abort,fruit_immature,fruit_seed_immature,fruit_seed_immature,,1,560.9818182,
BAER,43,seed_aborted,postpollination_abort,seed_aborted,fruit_seed_immature,fruit_seed_immature,,1,46.475,
BAER,100,nectar,prepollination_success,nectar,nectar,nectar,,1,NA,
BAER,13,flower_petals,prepollination_success,petals,petals,petals,required,1,6.852,
BAER,44,seed,propagule,seed,seed,seed,required,1,19.11761318,
BAER,41,seed_pod,packaging_dispersal,seed_pod,seed_pod,seed_pod,required,1,60.65595996,
BOLE,11,bud_big,prepollination_abort,bud,bud,bud,,1,8.704804178,
BOLE,10,bud_mid,prepollination_abort,bud,bud,bud,,1,6.011876607,
BOLE,9,bud_small,prepollination_abort,bud,bud,bud,,1,3.214617564,
BOLE,8,bud_tiny,prepollination_abort,bud,bud,bud,,1,1.518018018,
