species,replicate,individual,site,age,age_exact,date,start_end,census,interval,year,year_div,segment,node_below,node_above,stem_weight,leaf_weight,root_weight,diameter_1,diameter_2,diameter_3,total_stem_weight,total_leaf_weight,total_plant_weight,height,notes
BAER,1,BAER_001,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,1,0,1,,,,15.04,,,,,,630,
BAER,1,BAER_001,Basin2005,7,7,28-May-13,end,17,,2013,2013,1,0,1,53280,45900,,21.08,21.35,21.35,85380.3,97106.3,182486.6,653,
BAER,1,BAER_001,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,2,1,2,,,,7.4,,,,,,,
BAER,1,BAER_001,Basin2005,7,7,28-May-13,end,17,,2013,2013,2,1,2,22700,33350,,11.7,,,32100.3,51206.3,83306.6,,
BAER,1,BAER_001,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,3,2,3,,,,4.2,,,,,,,
BAER,1,BAER_001,Basin2005,7,7,28-May-13,end,17,,2013,2013,3,2,3,6770,11260,,7.07,,,9400.3,17856.3,27256.6,,
BAER,1,BAER_001,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,4,3,4,,,,2.51,,,,,,,
BAER,1,BAER_001,Basin2005,7,7,28-May-13,end,17,,2013,2013,4,3,4,2590,6340,,4.5,,,2630.3,6596.3,9226.6,,
BAER,1,BAER_001,Basin2005,7,7,15-Mar-12,start,1,1,2012,2012,5,4,5,,,,,,,,,,,
BAER,1,BAER_001,Basin2005,7,7,28-May-13,end,17,,2013,2013,5,4,5,40.3,256.3,,1.27,,,40.3,256.3,296.6,,
BAER,1,BAER_001,Basin2005,7,7,28-May-13,end,17,,2013,2013,shed,,,176.3,,,,,,,,,,
BAER,2,BAER_002,Basin2005,7,7,1-May-12,start,2,1,2012,2012,1,0,1,,,,9.53,9.67,9.3,,,,750,
BAER,2,BAER_002,Basin2005,7,7,9-May-13,end,17,,2013,2013,1,0,1,35660,19860,,14.43,14.92,14.57,44251.3,36037.4,80288.7,810,
BAER,2,BAER_002,Basin2005,7,7,1-May-12,start,2,1,2012,2012,2,1,2,,,,4.44,,,,,,,
BAER,2,BAER_002,Basin2005,7,7,9-May-13,end,17,,2013,2013,2,1,2,7130,12153.4,,6.34,,,8591.3,16177.4,24768.7,,
BAER,2,BAER_002,Basin2005,7,7,1-May-12,start,2,1,2012,2012,3,2,3,,,,,,,,,,,
BAER,2,BAER_002,Basin2005,7,7,9-May-13,end,17,,2013,2013,3,2,3,1461.3,4024,,3.37,,,1461.3,4024,5485.3,,
BAER,3,BAER_003,Basin2005,7,7,3-May-12,start,2,1,2012,2012,1,0,1,,,,14.3,,,,,,925,
BAER,3,BAER_003,Basin2005,7,7,28-May-13,end,17,,2013,2013,1,0,1,80610,69180,,21.53,22.6,22.61,104422.7,106403.1,210825.8,1050,
BAER,3,BAER_003,Basin2005,7,7,3-May-12,start,2,1,2012,2012,2,1,2,,,,5.97,,,,,,,
BAER,3,BAER_003,Basin2005,7,7,28-May-13,end,17,,2013,2013,2,1,2,17800,24800,,9.13,,,23812.7,37223.1,61035.8,,
BAER,3,BAER_003,Basin2005,7,7,3-May-12,start,2,1,2012,2012,3,2,3,,,,3.19,,,,,,,
BAER,3,BAER_003,Basin2005,7,7,28-May-13,end,17,,2013,2013,3,2,3,5030,9070,,5.2,,,6012.7,12423.1,18435.8,,
BAER,3,BAER_003,Basin2005,7,7,3-May-12,start,2,1,2012,2012,4,3,4,,,,1.84,,,,,,,
BAER,3,BAER_003,Basin2005,7,7,28-May-13,end,17,,2013,2013,4,3,4,829,2604.7,,3.15,,,982.7,3353.1,4335.8,,
BAER,3,BAER_003,Basin2005,7,7,3-May-12,start,2,1,2012,2012,5,4,5,,,,,,,,,,,
BAER,3,BAER_003,Basin2005,7,7,28-May-13,end,17,,2013,2013,5,4,5,153.7,748.4,,1.71,,,153.7,748.4,902.1,,
BAER,3,BAER_003,Basin2005,7,7,28-May-13,end,17,,2013,2013,shed,,,217.6,,,,,,,,,,
BAER,4,BAER_004,Basin2005,7,7,3-May-12,start,2,1,2012,2012,1,0,1,,,,15.77,,,,,,750,
BAER,4,BAER_004,Basin2005,7,7,28-May-13,end,17,,2013,2013,1,0,1,55570,47740,,20.04,19.37,19.43,113945.6,135228.8,249174.4,935,
BAER,4,BAER_004,Basin2005,7,7,3-May-12,start,2,1,2012,2012,2,1,2,,,,8.69,,,,,,,
