sample_rep1,sample_rep2,approx_dry_weight_mg_rep1,approx_dry_weight_mg_rep2,species,site,age,individual_rep1,individual_rep2,tissue_complete,tissue_simple,tissue,parts_to_match,live_dead,rep2_replicate,no_sample,CN_analysis_date,Pmicro_analysis_date,Al,B,Ca,Cu,Fe,K,Mg ,Mn,Na,P,S,Zn,C,N,notes,with_bark_diam_mm,diameter_temp,without_bark_diam_mm,length_mm,segment,total_leaf_weight_mg,total_segment_weight_mg,total_segment_length_mm,plant_height_mm,height_of_leaf_cover_mm,diameter_leaf_cover_mm_WITH_BARK,,
MQ_001_leaves,,435.3,,BAER,Wilunga2012,1.4,BAER_303,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,1020.405,72.26,4316.533,7.838,53.598,3117.963,1086.434,88.352,1284.677,356.847,1407.504,25.553,47.43,2.12,,,,,,,,,,,,,,
MQ_002_leaves,,981.5,,BAER,Waratah2011,2.4,BAER_154,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,835.39,32.783,3590.075,3.025,24.656,1976.513,769.596,206.999,2211.368,220.951,1227.674,26.426,48.52,1.477,,,,,,,,,,,,,,
MQ_003_leaves,,897.8,,BAER,Basin2005,7,BAER_005,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,1094.862,22.257,3442.715,2.039,15.611,1837.169,1165.373,105.845,1688.833,149.821,1054.567,7.415,49.78,1.501,,,,,,,,,,,,,,
MQ_004_leaves,,1261.3,,BAER,Waratah2003,9,BAER_805,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,929.741,36.155,3579.037,1.761,22.832,2336.723,947.309,51.314,1692.585,173.76,1409.234,5.349,48.59,1.496,,,,,,,,,,,,,,
MQ_005_leaves,,1183.1,,BAER,Basin1981,32,BAER_905,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,525.941,32.425,1046.683,1.854,15.037,2329.501,1274.388,29.079,2484.451,165.349,1215.489,4.695,49.65,1.512,,,,,,,,,,,,,,
MQ_006_senescent leaves,,200.7,,BAER,Waratah2011,2.4,BAER,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,954.396,22.5,5191.864,0.836,38.578,665.765,1292.693,99.946,1341.75,15.605,883.323,4.462,48.91,1.193,,,,,,,,,,,,,,
MQ_007_senescent leaves,,234.5,,BAER,Waratah2003,9,BAER,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,742.675,34.2,6025.91,0.822,34.101,611.726,1041.55,91.974,998.478,18.557,853.359,4.486,48.73,1.254,,,,,,,,,,,,,,
MQ_008_leaves,,396.2,,BOLE,Wilunga2012,1.4,BOLE_306,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,76.529,38.112,4546.053,3.048,56.903,3031.132,3028.537,73.618,760.657,229.564,1373.553,10.404,50.12,1.954,,,,,,,,,,,,,,
MQ_009_leaves,,327.7,,BOLE,Wilunga2012,1.4,BOLE_313,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,67.003,32.876,3441.418,2.248,86.004,3124.748,2505.756,57.242,563.143,216.743,1530.022,11.897,50.24,2.013,,,,,,,,,,,,,,
MQ_010_leaves,,448.3,,BOLE,Wilunga2012,1.4,BOLE_307,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,109.487,34.938,3858.239,3.999,98.092,2492.143,1878.846,62.607,855.288,277.429,1846.187,8.564,50.12,1.981,,,,,,,,,,,,,,
MQ_011_leaves,,478,,BOLE,Waratah2011,2.4,BOLE_155,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,55.244,35.728,2958.086,2.582,54.215,2399.538,2002.063,58.694,1012.651,185.402,1447.8,8.079,50.78,1.994,,,,,,,,,,,,,,
MQ_012_leaves,,305.1,,BOLE,Waratah2011,2.4,BOLE_156,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,48.957,17.221,2958.468,3.247,54.668,2088.135,1654,45.265,1266.488,171.328,1090.242,7.454,50.62,2.014,,,,,,,,,,,,,,
