sample_rep1,sample_rep2,approx_dry_weight_mg_rep1,approx_dry_weight_mg_rep2,species,site,age,individual_rep1,individual_rep2,tissue_complete,tissue_simple,tissue,parts_to_match,live_dead,rep2_replicate,no_sample,CN_analysis_date,Pmicro_analysis_date,Al,B,Ca,Cu,Fe,K,Mg ,Mn,Na,P,S,Zn,C,N,notes,with_bark_diam_mm,diameter_temp,without_bark_diam_mm,length_mm,segment,total_leaf_weight_mg,total_segment_weight_mg,total_segment_length_mm,plant_height_mm,height_of_leaf_cover_mm,diameter_leaf_cover_mm_WITH_BARK,,
MQ_013_leaves,,794.1,,BOLE,Waratah2011,2.4,BOLE_157,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,41.414,32.594,3268.916,2.479,44.678,2083.052,2393.688,116.385,529.09,223.46,1321.47,10.605,50.48,1.971,,,,,,,,,,,,,,
MQ_014_leaves,,318.2,,BOLE,Basin2005,7,BOLE_003,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,75.708,39.13,6895.899,1.943,118.79,1772.329,3660.725,143.061,1699.272,238.335,1769.172,6.923,50.34,1.73,,,,,,,,,,,,,,
MQ_015_leaves,,142.2,,BOLE,Basin2005,7,BOLE_006,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,38.301,31.049,2801.894,2.2,53.873,1447.133,1630.172,40.125,1022.176,235.033,1159.394,6.664,50.24,1.81,,,,,,,,,,,,,,
MQ_016_leaves,,331.4,,BOLE,Basin2005,7,BOLE_008,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,67.219,29.252,5040.407,1.738,93.265,1807.894,4155.735,133.663,1463.126,244.528,1211.442,18.636,50.16,1.641,,,,,,,,,,,,,,
MQ_017_leaves,,175.8,,BOLE,Waratah2003,9,BOLE_801,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,30.179,43.553,1510.333,2.84,24.74,1861.369,5038.796,0.664,516.975,290.313,1510.383,11.139,50.85,2.045,,,,,,,,,,,,,,
MQ_018_leaves,,161.4,,BOLE,Waratah2003,9,BOLE_802,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,41.436,47.522,1623.722,2.742,36.487,1628.927,3937.542,19.019,682.219,229.676,1448.375,7.959,50.64,2.105,,,,,,,,,,,,,,
MQ_019_leaves,,157.2,,BOLE,Waratah2003,9,BOLE_807,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,67.18,49.183,5595.192,2.091,88.48,1218.6,5394.483,49.802,299.895,173.965,1274.368,11.815,50.73,1.974,,,,,,,,,,,,,,
MQ_020_senescent leaves,MQ_1020_senescent leaves,129.7,283.5,BOLE,Waratah2011,2.4,BOLE,BOLE,senescent_leaves,senescent_leaves,leaves,leaves,dead,rep_2,insufficient_sample_for_CN,2016_Oct,2016_March,86.305,39.698,6619.962,1.624,76.756,1282.092,3851.184,150.302,1482.221,62.422,1174.565,12.804,50.89,0.408,,,,,,,,,,,,,,
MQ_021_senescent leaves,MQ_1021_senescent leaves,124.5,350.1,BOLE,Wilunga2012,1.4,BOLE,BOLE,senescent_leaves,senescent_leaves,leaves,leaves,dead,rep_2,insufficient_sample_for_CN,2016_Oct,2016_March,62.516,23.587,6449.127,1.375,62.142,1125.266,2715.787,96.837,2184,45.924,1138.002,6.343,49.42,0.4931,,,,,,,,,,,,,,
MQ_022_leaves,,274.2,,COER,Wilunga2012,1.4,COER_30A,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,278.885,24.818,4751.174,1.998,23.783,2075.237,1752.495,41.807,1264.194,214.342,984.715,46.939,48.94,1.245,,,,,,,,,,,,,,
MQ_023_leaves,,145.3,,COER,Waratah2011,2.4,COER_153,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,264.146,48.465,3174.51,1.827,19.769,2513.039,3007.004,150.262,1790.145,168.846,1008.943,46.314,49.56,1.774,,,,,,,,,,,,,,
MQ_024_leaves,,280.8,,COER,Basin2005,7,COER_003,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,277.949,14.912,2964.326,3.568,36.904,1338.215,2644.656,66.321,1393.73,166.881,1157.353,16.534,50.63,1.268,,,,,,,,,,,,,,
MQ_025_leaves,MQ_1025_leaves,114.1,1020.8,COER,Waratah2003,9,COER_801,COER_80W,leaves,leaves,leaves,leaves,live,rep_2,insufficient_sample_for_CN,2016_Oct,2016_March,241.736,50.453,3798.982,2.679,94.336,1394.418,2726.723,2.504,711.938,198.533,1206.68,16.086,49.67,0.7042,,,,,,,,,,,,,,
MQ_026_senescent leaves,,160.6,,COER,Waratah2003,9,COER,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,321.221,28.831,1738.035,2.836,73.657,698.3,2349.114,2.035,1790.521,47.91,1265.97,19.312,49.68,1.341,,,,,,,,,,,,,,
MQ_028_leaves,,144.3,,EPMI,Wilunga2012,1.4,EPMI_30A,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,152.904,46.113,9078.129,3.829,64.844,2868.906,967.437,309.595,131.711,199.84,1483.785,25.507,48.31,1.669,,,,,,,,,,,,,,
MQ_029_leaves,,152.6,,EPMI,Wilunga2012,1.4,EPMI_30B,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,32.154,47.519,12846.341,4.729,15.678,2334.455,1725.798,333.321,121.654,190.271,1253.721,15.798,48.62,1.753,,,,,,,,,,,,,,
MQ_030_leaves,,150.1,,EPMI,Wilunga2012,1.4,EPMI_30C,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,91.07,24.372,12468.565,3.507,33.132,2947.874,1824.969,339.658,68.604,190.672,1705.9,22.334,48.41,1.625,,,,,,,,,,,,,,
MQ_031_leaves,MQ_1031_leaves,117.2,287.9,EPMI,Waratah2011,2.4,EPMI_151,EPMI_15W,leaves,leaves,leaves,leaves,live,rep_4,insufficient_sample_for_CN,2016_Oct,2016_March,71.268,25.267,8623.346,4.167,48.506,3225.756,1413.495,290.207,115.17,276.045,1961.797,18.813,50.31,1.037,,,,,,,,,,,,,,
MQ_032_leaves,,123.5,,EPMI,Waratah2011,2.4,EPMI_153,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,34.995,35.298,10837.323,4.426,34.366,4631.217,891.456,856.722,69.255,372.154,2912.874,17.38,50.47,1.871,,,,,,,,,,,,,,
MQ_033_leaves,,160.7,,EPMI,Waratah2011,2.4,EPMI_157,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,50.058,41.686,10641.037,3.473,21.096,1725.451,1899.267,674.269,52.327,228.027,1667.411,29.605,51.25,2.094,,,,,,,,,,,,,,
MQ_034_leaves,MQ_1034_leaves,126,558.5,EPMI,Basin2005,7,EPMI_001,EPMI_00W,leaves,leaves,leaves,leaves,live,rep_4,insufficient_sample_for_CN,2016_Oct,2016_March,119.872,50.742,14309.773,4.046,84.296,2541.37,1363.808,1016.911,98.263,166.593,1567.721,20.063,51.92,0.7988,,,,,,,,,,,,,,
MQ_035_leaves,,165.3,,EPMI,Basin2005,7,EPMI_006,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,104.427,43.517,12637.254,2.383,49.414,2142.017,1519.72,426.61,142.906,163.118,1533.213,17.167,50.3,1.482,,,,,,,,,,,,,,
MQ_036_leaves,,143.3,,EPMI,Basin2005,7,EPMI_007,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,91.272,31.367,10442.18,17.435,53.968,1811.435,931.711,305.06,78.636,163.177,1108.602,21.802,50.41,1.524,,,,,,,,,,,,,,
MQ_037_leaves,,141.9,,EPMI,Waratah2003,9,EPMI_802,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,82.641,36.272,7157.916,3.273,33.947,1835.762,1489.615,173.748,39.711,140.306,1282.414,16.64,51.63,1.403,,,,,,,,,,,,,,
MQ_038_leaves,,299.9,,EPMI,Waratah2003,9,EPMI_807,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,82.634,36.973,8996.099,4.178,34.08,2562.892,1378.065,358.392,174.497,159.856,1513.865,15.318,52.73,1.356,,,,,,,,,,,,,,
MQ_039_leaves,,156.1,,EPMI,Waratah2003,9,EPMI_808,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,78.547,52.176,9703.64,4.358,34.969,2111.169,2610.675,372.518,75.274,166.678,1375.525,25.904,51.47,1.409,,,,,,,,,,,,,,
MQ_040_leaves,,200.9,,EPMI,Basin1981,32,EPMI_901,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,140.431,30.532,9236.143,8.411,102.869,1476.94,921.685,383.594,205.383,147.39,1374.361,22.624,52.46,1.159,,,,,,,,,,,,,,
MQ_041_leaves,,219.8,,EPMI,Basin1981,32,EPMI_905,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,64.861,48.681,6988.911,3.677,56.922,2289.728,1688.237,427.709,179.478,160.462,1722.647,10.922,51.68,1.264,,,,,,,,,,,,,,
MQ_042_leaves,,167.9,,EPMI,Basin1981,32,EPMI_906,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,78.39,26.061,8262.355,3.495,96.727,1468.994,1092.405,203.97,116.068,124.329,1508.266,13.769,51.63,1.205,,,,,,,,,,,,,,
MQ_043_senescent leaves,,139,,EPMI,Basin1981,32,EPMI,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,99.981,10.607,9687.827,2.293,85.958,984.895,903.487,385.347,370.706,87.375,1293.293,16.899,52.04,1.248,,,,,,,,,,,,,,
MQ_044_senescent leaves,,178.8,,EPMI,Waratah2003,9,EPMI,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,150.15,36.755,14652.034,1.884,50.447,1112.848,1582.928,295.729,480.679,35.388,1514.267,29.691,52.45,0.9402,,,,,,,,,,,,,,
MQ_045_leaves,,450.1,,GRBU,Wilunga2012,1.4,GRBU_310,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,114.974,15.053,5124.385,2.566,56.754,1556.239,3090.241,113.897,521.739,255.657,1227.987,6.627,47.15,1.283,,,,,,,,,,,,,,
MQ_046_leaves,,932.4,,GRBU,Waratah2011,2.4,GRBU_157,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,157.344,14.405,8512.285,1.951,50.823,1115.999,2142.744,430.572,643.21,191.055,972.678,7.582,48.7,1.088,,,,,,,,,,,,,,
MQ_047_leaves,,691.3,,GRBU,Basin2005,7,GRBU_002,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,237.104,56.429,4724.857,2.024,157.457,1557.823,2027.321,92.901,1023.116,188.899,1042.696,6.416,47.98,1.228,,,,,,,,,,,,,,
MQ_048_leaves,,741.9,,GRBU,Waratah2003,9,GRBU_802,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,104.942,23.919,4043.131,1.644,51.976,1168.191,1488.361,58.633,1277.568,166.235,891.809,5.334,48.52,0.8641,,,,,,,,,,,,,,
MQ_049_leaves,,309.7,,GRBU,Basin1981,32,GRBU_904,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,193.118,16.941,3442.895,1.159,64.523,1392.698,2079.437,38.129,833.882,165.993,944.822,6.248,47.79,0.9111,,,,,,,,,,,,,,
MQ_050_senescent leaves,,193.4,,GRBU,Waratah2003,9,GRBU,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,353.897,22.681,5644.712,0.808,116.055,523.782,2765.185,32.898,718.306,39,966.22,5.798,48.59,0.7616,,,,,,,,,,,,,,
MQ_051_senescent leaves,,204.5,,GRBU,Basin2005,7,GRBU,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,364.147,17.434,4998.879,0.985,172.988,1040.215,1971.982,18.55,1044.478,114.214,1057.877,6.996,49.67,0.9693,,,,,,,,,,,,,,
MQ_052_leaves,,496.4,,GRSP,Wilunga2012,1.4,GRSP_302,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,229.027,21.957,5559.843,1.633,47.988,1761.156,2516.241,21.059,609.985,280.906,1168.611,14.499,47.76,1.054,,,,,,,,,,,,,,
MQ_053_leaves,,742.4,,GRSP,Waratah2011,2.4,GRSP_155,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,150.912,24.841,2756.364,2.138,37.623,1829.294,1928.688,28.062,688.703,187.246,957.348,8.628,48.32,1.12,,,,,,,,,,,,,,
MQ_054_leaves,,604.5,,GRSP,Basin2005,7,GRSP_003,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,162.34,22.411,3516.872,1.552,79.831,2656.429,1848.174,13.12,961.382,212.473,1308.942,8.331,50.56,1.092,,,,,,,,,,,,,,
MQ_055_leaves,,738.8,,GRSP,Waratah2003,9,GRSP_803,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,369.701,11.164,4209.615,2.111,61.641,1708.452,2179.26,5.254,789.812,156.088,1117.696,9.056,49.8,1.167,,,,,,,,,,,,,,
MQ_056_senescent leaves,,231,,GRSP,Waratah2011,2.4,GRSP,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,426.847,24.651,9981.346,0.804,63.407,228.898,2283.728,108.4,448.781,32.869,890.008,15.348,50.12,0.7524,,,,,,,,,,,,,,
MQ_057_senescent leaves,,291.3,,GRSP,Waratah2003,9,GRSP,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,673.114,17.438,9821.104,1.572,142.787,260.171,1230.536,78.405,325.34,20.762,887.38,7.559,51.07,0.6382,,,,,,,,,,,,,,
MQ_058_leaves,,494.6,,HATE,Wilunga2012,1.4,HATE_308,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,289.138,17.125,6189.309,0.839,11.843,3022.071,2532.84,85.008,2797.49,159.301,1972.628,11.496,45.24,0.7151,,,,,,,,,,,,,,
MQ_059_leaves,,705.4,,HATE,Wilunga2012,1.4,HATE_311,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,174.046,9.846,6417.925,0.925,9.008,2084.243,3121.252,113.354,2911.454,108.721,809.125,13.286,44.82,0.7041,,,,,,,,,,,,,,
MQ_060_leaves,,583.8,,HATE,Wilunga2012,1.4,HATE_312,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,342.342,13.259,6229.878,0.713,11.418,1690.376,3096.34,60.016,2809.359,80.161,2471.754,13.097,45.02,0.6895,,,,,,,,,,,,,,
MQ_061_leaves,,1577.8,,HATE,Waratah2011,2.4,HATE_153,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,321.066,24.709,11119.485,1.709,11.841,3178.926,3129.493,51.6,2046.483,133.464,2322.874,14.688,46.47,0.8381,,,,,,,,,,,,,,
MQ_062_leaves,,725.5,,HATE,Waratah2011,2.4,HATE_156,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,310.46,18.977,6647.163,0.997,29.408,2472.715,2356.014,38.512,2044.126,115.784,1506.929,10.487,45.82,0.8014,,,,,,,,,,,,,,
MQ_063_leaves,,839.8,,HATE,Waratah2011,2.4,HATE_157,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,299.27,16.314,6972.355,1.388,9.163,3106.666,3029.457,38.256,3194.824,152.528,2064.477,10.047,46.05,0.7985,,,,,,,,,,,,,,
MQ_064_leaves,,1971.1,,HATE,Basin2005,7,HATE_003,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,385.85,13.224,3741.139,1.486,18.17,2642.303,2022.927,17.671,2286.039,115.198,1277.695,9.231,48,0.7955,,,,,,,,,,,,,,
MQ_065_leaves,,1214.7,,HATE,Basin2005,7,HATE_005,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,415.411,17.86,6029.819,1.492,18.226,2426.068,2712.687,59.402,2456.657,146.381,2011.237,6.392,47.85,0.8142,,,,,,,,,,,,,,
MQ_066_leaves,,1372.1,,HATE,Basin2005,7,HATE_006,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,470.009,16.257,7657.071,1.465,18.943,3043.866,1973.075,51.75,2829.249,150.315,963.835,10.076,47.56,0.8064,,,,,,,,,,,,,,
MQ_067_leaves,,2029.7,,HATE,Waratah2003,9,HATE_803,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,450.7,13.236,16392.401,1.259,26.543,2184.347,2079.867,61.886,1813.182,120.517,1893.164,17.01,48.08,0.6801,,,,,,,,,,,,,,
MQ_068_leaves,,1208.9,,HATE,Waratah2003,9,HATE_804,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,574.524,18.771,13684.556,0.851,35.924,2664.537,2005.686,42.235,1564.378,136.887,1618.826,14.834,48.63,0.7052,,,,,,,,,,,,,,
MQ_069_leaves,,1423.4,,HATE,Waratah2003,9,HATE_807,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,489.913,29.086,5353.246,1.302,19.445,2896.053,1740.15,10.133,1898.052,149.424,1549.761,12.321,48.17,0.7141,,,,,,,,,,,,,,
MQ_070_leaves,,3907.8,,HATE,Basin1981,32,HATE_901,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,569.834,16.306,1816.337,1.843,16.259,2302.546,2815.565,13.543,2676.132,118.464,1636.963,7.407,48.65,0.6582,,,,,,,,,,,,,,
MQ_071_leaves,,2211.3,,HATE,Basin1981,32,HATE_902,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,409.567,12.586,2505,1.468,23.843,2535.66,3737.609,28.632,2458.278,127.049,2004.257,8.441,48.65,0.7052,,,,,,,,,,,,,,
MQ_072_leaves,,1919.1,,HATE,Basin1981,32,HATE_906,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,318.173,19.641,2044.346,2.133,9.916,2736.053,4021.558,29.077,2288.254,125.867,2105.172,8.876,48.52,0.6741,,,,,,,,,,,,,,
MQ_073_senescent leaves,,411,,HATE,Waratah2003,9,HATE,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,785.996,16.053,13028.609,0.501,48.137,2292.59,2631.982,81.158,1328.662,18.454,1526.831,32.127,47.67,0.5795,,,,,,,,,,,,,,
MQ_074_senescent leaves,,336,,HATE,Basin1981,32,HATE,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,680.787,10.57,6354.179,0.89,24.64,1570.316,3321.138,42.541,1454.627,23.6,1999.521,9.441,48,0.5014,,,,,,,,,,,,,,
MQ_075_leaves,,213.4,,HEPU,Wilunga2012,1.4,HEPU_106,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,43.451,22.495,3865.582,7.216,59.674,4001.84,3670.781,249.416,2013.438,372.113,1788.124,60.539,37.74,1.5551,,,,,,,,,,,,,,
MQ_076_leaves,,221.3,,HEPU,Waratah2011,2.4,HEPU_157,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,46.599,20.641,5015.491,5.061,29.537,5771.476,2261.942,58.412,1195.634,176.462,1636.074,19.987,42.58,1.486,,,,,,,,,,,,,,
MQ_077_leaves,,149.7,,HEPU,Basin2005,7,HEPU_006,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,110.095,15.237,4244.105,3.617,74.742,2564.46,1910.426,108.151,1293.242,170.265,1485.193,12.964,41.58,1.674,,,,,,,,,,,,,,
MQ_078_leaves,,130.1,,HEPU,Waratah2003,9,HEPU_806,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,59.382,19.622,3598.633,7.115,55.683,2999.232,4082.021,14.905,1578.923,179.079,1575.06,12.767,42.83,1.503,,,,,,,,,,,,,,
MQ_079_senescent leaves,,134.4,,HEPU,Waratah2003,9,HEPU,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,123.313,22.569,3471.001,2.263,66.965,2181.867,3014.273,3.813,1851.819,58.472,1379.516,11.925,41.12,1.611,,,,,,,,,,,,,,
MQ_080_senescent leaves,,190.8,,HEPU,Waratah2011,2.4,HEPU,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,86.233,49.072,4677.985,3.224,43.765,2380.17,2819.887,56.48,2225.406,48.596,1238.125,19.81,43.25,1.71,,,,,,,,,,,,,,
MQ_081_leaves,,207.3,,LEES,Wilunga2012,1.4,LEES_30A,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,24.449,14.342,12352.635,22.292,39.015,1682.016,1288.748,300.423,298.124,108.349,1089.989,15.469,40.77,0.611,,,,,,,,,,,,,,
MQ_082_leaves,,217,,LEES,Waratah2011,2.4,LEES_156,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,20.089,22.666,11166.433,30.624,19.942,4352.219,902.181,199.964,281.541,229.017,1709.065,18.769,40.53,1.174,,,,,,,,,,,,,,
MQ_083_leaves,,160.1,,LEES,Basin2005,7,LEES_003,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,26.874,19.778,17635.995,20.085,27.878,2863.194,1061.103,276.433,245.483,222.758,1337.582,8.671,39.75,1.015,,,,,,,,,,,,,,
MQ_084_leaves,,192.3,,LEES,Waratah2003,9,LEES_803,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,24.933,15.614,9662.629,19.464,17.773,4724.279,809.3,61.819,358.71,251.396,1715.799,14.866,40.86,0.968,,,,,,,,,,,,,,
MQ_085_leaves,,273.7,,LEES,Basin1981,32,LEES_902,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,24.215,13.512,5694.247,13.589,48.511,2825.189,2457.513,60.855,476.384,263.045,1415.832,6.975,36.81,0.893,,,,,,,,,,,,,,
MQ_086_senescent leaves,MQ_1086_senescent leaves,116.5,176.9,LEES,Waratah2003,9,LEES,LEES_00W,senescent_leaves,senescent_leaves,leaves,leaves,dead,rep_2,insufficient_sample_for_CN,2016_Oct,2016_March,35.332,14.814,12317.866,25.936,37.385,1018.533,1228.27,87.992,576.214,57.346,1469.869,7.747,49.56,0.5774,,,,,,,,,,,,,,
MQ_087_senescent leaves,MQ_1087_senescent leaves,128.8,233.7,LEES,Wilunga2012,1.4,LEES,LEES,senescent_leaves,senescent_leaves,leaves,leaves,dead,rep_2,insufficient_sample_for_CN,2016_Oct,2016_March,35.345,12.128,9505.372,16.556,38.943,1989.412,1606.549,106.012,325.343,22.788,1413.47,21.603,47.97,0.924,,,,,,,,,,,,,,
MQ_088_leaves,,1341.6,,PELA,Wilunga2012,1.4,PELA_30A,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,255.961,18.944,2520.033,2.021,22.695,3117.497,2449.987,49.975,2310.204,365.399,1018.611,41.235,34.79,0.8276,,,,,,,,,,,,,,
MQ_089_leaves,,396.7,,PELA,Waratah2011,2.4,PELA_158,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,151.467,21.221,4160.116,1.822,9.061,2690.128,2737.934,111.081,1948.62,196.893,942.021,35.1,38.81,0.9232,,,,,,,,,,,,,,
MQ_090_leaves,,1013.2,,PELA,Basin2005,7,PELA_003,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,263.104,31.024,5733.104,1.7,17.138,2108.809,3717.859,107.07,1909.908,196.32,931.442,18.217,46.11,1.0277,,,,,,,,,,,,,,
MQ_091_leaves,,1993.5,,PELA,Waratah2003,9,PELA_803,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,183.017,18.063,2820.961,2.366,23.674,3700.341,2247.229,43.424,2463.337,239.801,991.9,22.322,50.16,1.1165,,,,,,,,,,,,,,
