"site","species","individual","start_end","age","aborted_ovule_count","accessory_costs","accessory_costs_using_seedweight","accessory_inv","all_leaf_and_repro_inv","all_leaf_inv","choosiness","cone_count","count_per_length","diameter","diameter_0","discarded_costs","discarded_inv","embryo_endo_costs","embryo_endo_inv","embryo_endo_size","flower_inv","fruit_costs","fruit_inv","gross_inv","growth_height","growth_inv","growth_leaf","growth_leaf_area","growth_leaf_neg","growth_leaf_pos","growth_leaf_prop_no_accessory","growth_shoot_length","growth_stem","growth_stem_area","growth_stem_diameter","height","height_0","inflorescence_count","leaf_area","leaf_area_0","leaf_inv_gross","leaf_replacement","leaf_repro_inv","leaf_shed","leaf_size","leaf_weight","leaf_weight_0","lifespan","LMA","lvs_end","lvs_end_count","lvs_end_length","mature","maturity","ovule_count","ovule_per_ovary","pack_disp_success_inv","packaging_dispersal_costs","packaging_dispersal_costs_temp","pollen_attract_costs","pollen_set","postpollen_aborted_costs","postpollen_aborted_count","postpollen_aborted_inv","postpollen_all_costs","postpollen_all_inv","postpollen_count","postpollen_temp_inv","prepollen_all_costs","prepollen_all_inv","prepollen_costs_from_pack_disp_tissues","prepollen_costs_from_seed_tissues","prepollen_count","prepollen_count_aborted_preflowering","prepollen_count_reach_flowering","prepollen_discarded_costs","prepollen_discarded_inv","prepollen_inv_aborted_preflowering","prepollen_inv_from_aborted_dispersal","prepollen_inv_from_pack_disp_tissues","prepollen_partial_costs","prepollen_success_inv","prepollen_temp_inv","prop_accessory_vs_embryo_endo","prop_accessory_vs_propagule","prop_discarded_vs_all_repro","prop_embryo_endo_vs_all_repro","prop_embryo_endo_vs_success","prop_endo","prop_leaf_expand","prop_leaf_loss","prop_leaf_replacement","prop_pack_disp_vs_all_repro","prop_pack_disp_vs_success","prop_pollen_attract_vs_all_repro","prop_pollen_attract_vs_success","prop_postpollen_all_vs_all_repro","prop_postpollen_discarded","prop_postpollen_discarded_vs_all_repro","prop_postpollen_success","prop_prepollen_all_vs_all_repro","prop_prepollen_discarded","prop_prepollen_discarded_vs_all_repro","prop_prepollen_success","prop_propagule_vs_all_repro","prop_provisioning_vs_success","prop_repro","prop_success","prop_surplus","propagule_costs","propagule_costs_temp","propagule_inv","provisioning_costs","RA","RA_max_1","replace_leaf_prop_no_accessory","repro_and_leaf_growth_prop_surplus","repro_costs","repro_inv","repro_prop_all_leaf","reproducing","scaled_ovule_count","scaled_pollen_attract_costs","scaled_provisioning_costs","scaled_reach_flowering_count","scaled_repro_inv","scaled_seed_count","seed_coat_costs","seed_count","seed_prop_all","seed_prop_all_acc","seed_prop_surplus","seed_prop_veg","seed_size","seed_size_source","seedset","shoot_leaf_count","shoot_leaf_count_new","shoot_leaf_count_new_and_shed_count","shoot_leaf_count_start","shoot_length_start","stem_area","stem_weight","stem_weight_0","stop_at_flower_count","success_costs","success_inv","surplus_inv","total_inv","total_weight","total_weight_0","wood_density","zygote_set"
"Basin2005","BAER","BAER_001","end",7,2286,0,0,24985.1236202753,79736.1623910147,54751.0387707394,0,2,1.37652946717336,21.26,15.04,0,24985.1236202753,0,0,24.0645,0,0,0,131980.271521876,23,75732.0678949005,23487.9587640389,1099.28044137468,0,23487.9587640389,0.219523587982137,70,52244.1091308616,177.331909720856,6.22,653,630,0,4544.75663026521,3445.47618889053,54751.0387707394,31263.0800067005,48473.0823843142,31263.0800067005,0.16078325,97106.3,73618.3412359611,40,0.0213666666666667,243.645715689685,0,177,TRUE,7,2286,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24985.1236202753,0,0,2286,982,1304,0,24985.1236202753,16582.5408901166,0,0,0,0,24985.1236202753,1,1,1,0,0,0.7426,0.367275213373687,0.424664281778589,0.604152131766133,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.189309533403512,0,0.607918426605599,0,0,0,0,0.2480720842629,0.515443260285845,0.511715155729226,0.607918426605599,0,24985.1236202753,0.313347455797431,TRUE,0.663478681806275,0,0,0.378467279560535,7.25157344022182,0,0,0,0,0,0,0,0,"Wenk",0,340.00277839182,96.3570627021353,0,423.48442478574,117,354.990230918421,85380.3,33136.1908691384,1304,0,0,48473.0823843142,100717.191515176,182486.6,106754.532105099,0.5875,0
"Basin2005","BAER","BAER_002","end",7,962,0,0,8894.89,29228.9459771759,20334.0559771759,0,1,1.37652946717336,14.64,9.5,0,8894.89,0,0,24.0645,0,0,0,60252.794986625,60,39740.5333560176,8716.68434656841,407.95714570523,0,8716.68434656841,0.169724297531967,128,31023.8490094491,97.45188995509,5.14,810,750,0,1686.61778471139,1278.66063900616,20334.0559771759,11617.3716306074,17611.5743465684,11617.3716306074,0.16078325,36037.4,27320.7156534316,40,0.0213666666666667,288.787539828592,30,188,TRUE,7,962,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8894.89,0,0,962,962,0,0,8894.89,8894.89,0,0,0,0,8894.89,1,1,1,0,0,0.7426,0.292294728410157,0.425222083417433,0.485105230116945,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.147626180693767,0,0.602538810681742,0,0,0,0,0.182889124556154,0.505059333422577,0.395928455073691,0.602538810681742,0,8894.89,0.304317850084153,TRUE,0.752349740543915,0,0,0,6.95641183333333,0,0,0,0,0,0,0,0,"Wenk",0,464.983311626782,176.19577179819,0,502.433255518277,188,168.33407420171,44251.3,13227.4509905509,0,0,0,17611.5743465684,48635.4233560176,80288.7,40548.1666439825,0.5875,0
"Basin2005","BAER","BAER_003","end",7,0,0,0,144.640916628595,62836.939667208,62692.2987505794,0,3,1.37652946717336,22.2466666666667,14.3,0,144.640916628595,0,0,24.0645,0,0,0,136082.130156587,125,98981.8484113252,25736.6579219465,1204.52377169796,0,25736.6579219465,0.189327153722222,184,73245.1904893787,228.098615832881,7.94666666666667,1050,925,0,4979.86427457098,3775.34050287302,62692.2987505794,36955.6408286329,25881.2988385751,36955.6408286329,0.16078325,106403.1,80666.4420780535,40,0.0213666666666667,416.958840152009,4,300,TRUE,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,144.640916628595,0,0,0,0,0,0,144.640916628595,144.640916628595,0,0,0,0,144.640916628595,1,1,1,0,0,0.7426,0.19018881324678,0.458129054370271,0.461757466574802,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.00106289427173252,0,0.411880320328226,0,0,0,0,0.00145915504129335,0.0055886266578327,0.461184762945815,0.411880320328226,0,144.640916628595,0.002301845338023,TRUE,0,0,0,0,0.0383120188810847,0,0,0,0,0,0,0,0,"Wenk",0,670.240262111907,253.281421959899,0,769.479972149909,263,388.704686266025,104422.7,31177.5095106213,0,0,0,25881.2988385751,99126.4893279538,210825.8,111843.951588675,0.5875,0
"Basin2005","BAER","BAER_004","end",7,662,0,0,8027.70541928508,86949.246255105,78921.5408358199,0,2,1.37652946717336,19.6133333333333,15.77,0,8027.70541928508,0,0,24.0645,0,0,0,138162.367805443,185,83922.1062208531,32708.9846705154,1530.84171624877,0,32708.9846705154,0.251347212731499,138,51213.1215503378,106.806252607188,3.84333333333333,935,750,0,6328.96099843994,4798.11928219117,78921.5408358199,46212.5561653045,40736.6900898004,46212.5561653045,0.16078325,135228.8,102519.815329485,40,0.0213666666666667,249.491655813391,32,158,TRUE,7,662,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8027.70541928508,0,0,662,0,662,0,8027.70541928508,3761.97707007873,0,0,0,0,8027.70541928508,1,1,1,0,0,0.7426,0.294846496458174,0.450767064072284,0.629326549886182,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.0581034151831381,0,0.468511135453445,0,0,0,0,0.0873052948787206,0.197063271502636,0.606460564685145,0.468511135453445,0,8027.70541928508,0.0923263370878705,TRUE,0.137970725833578,0,0,0.137970725833578,1.67309417443642,0,0,0,0,0,0,0,0,"Wenk",0,439.452722283315,189.961066469924,0,454.254724167209,158,302.129199517173,113945.6,62732.4784496622,662,0,0,40736.6900898004,91949.8116401382,249174.4,165252.293779147,0.5875,0
"Basin2005","BAER","BAER_005","end",7,7490,0,0,83360.9049332563,190209.238061115,106848.333127859,0,7,1.37652946717336,27.62,19.16,0,83360.9049332563,0,0,24.0645,0,0,0,364020.664391086,110,220222.750280216,46411.3239502459,2172.13684634536,0,46411.3239502459,0.165365081335144,82,173811.42632997,310.828234668378,8.46,1220,1110,0,8980.26833073323,6808.13148438787,106848.333127859,60437.0091776133,129772.228883502,60437.0091776133,0.16078325,191878.4,145467.076049754,40,0.0213666666666667,282.423246098806,14,195,TRUE,7,7490,2,0,0,0,0,0,0,0,6993.83043836937,0,6993.83043836937,0,6993.83043836937,0,76367.0744948869,0,0,7490,2970,4520,0,76367.0744948869,47241.5576694901,0,0,0,0,76367.0744948869,1,1,1,0,0,0.7426,0.356496873880988,0.415468646368764,0.522523188015404,0,0,0,0,0.0838982067669377,1,0,0,0.916101793233062,1,0,0,0,1,0.22900047466453,0,0.682260389696769,0,0,0,0,0.274589568646701,0.642363205521346,0.380704142746598,0.682260389696769,0,83360.9049332563,0.438258970925859,TRUE,1.10015501568613,0,0,0.663911972082954,12.244314776296,0,0,0,0,0,0,0,0,"Wenk",0,395.298662407021,112.875416308216,0,483.16184297785,70,599.152298681296,276695.9,102884.47367003,4520,0,0,129772.228883502,303583.655213472,468574.3,248351.549719784,0.5875,0
"Basin2005","BAER","BAER_006","end",7,1044,0,0,11846.05,57526.2265422686,45680.1765422686,0,1,1.37652946717336,17.2066666666667,12.85,0,11846.05,0,0,24.0645,0,0,0,106297.632182568,145,71784.7497533134,23013.3441130142,1077.06758719255,0,23013.3441130142,0.24365228809541,114,48771.4056402991,102.845437309297,4.35666666666667,880,735,0,4452.92199687988,3375.85440968732,45680.1765422686,22666.8324292544,34859.3941130142,22666.8324292544,0.16078325,95144.1,72130.7558869858,40,0.0213666666666667,428.557839210061,39,283,TRUE,7,1044,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.05,0,0,1044,1044,0,0,11846.05,11846.05,0,0,0,0,11846.05,1,1,1,0,0,0.7426,0.327941398103231,0.31424642859377,0.541180695760621,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.111442275399458,0,0.605973939337053,0,0,0,0,0.141646977368893,0.339823749133306,0.483635906214597,0.605973939337053,0,11846.05,0.205924335942596,TRUE,0.309255042813501,0,0,0,3.50905239456023,0,0,0,0,0,0,0,0,"Wenk",0,585.482198467825,156.924359257763,0,624.944378096706,156,232.532345544892,88172.2,39400.7943597009,0,0,0,34859.3941130142,83630.7997533134,183316.3,111531.550246687,0.5875,0
"Basin2005","BAER","BAER_007","end",7,980,9360.20548124583,9355.4810896125,18720.4109624917,149650.588437121,130902.917698196,491,3,1.37652946717336,28.43,22.0733333333333,4135.4798911998,8270.9597823996,13.6298882164357,27.2597764328714,24.0645,7671.95684126984,527.817613183099,1055.6352263662,262709.09786771,130,160142.304919301,47083.7954887123,2203.60977326267,0,47083.7954887123,0.193087047857454,62,113058.509430589,252.138615143572,6.35666666666667,1120,990,0,9110.38689547582,6906.77712221315,130902.917698196,83819.1222094839,65831.4662276369,83819.1222094839,0.16078325,194658.6,147574.804511288,40,0.0213666666666667,229.183536060803,64,120,TRUE,7,982,2,10433.8260134092,5216.91300670461,5213.5575,7.81258334141532,0.010183299389002,682.933626951799,8,1365.8672539036,5913.47652187285,11826.9530437457,10,11848.2752263662,3460.35884758942,6920.71769517883,1.3688849287169,0.763333333333333,972,0,982,3452.546264248,6905.092528496,579.317004621821,10.9510794297352,1344.245,5.68036507936508,15.6251666828306,6899.39551255833,0.998545964626087,0.998041966908278,0.441172660730976,0.00145403537391308,0.00260194029843821,0.7426,0.250586929657027,0.567977186126462,0.569643722473894,0.556539858135346,0.995906640615203,0.000833445759765193,0.00149141908635928,0.630849197665403,0.115487670311323,0.0728553041561446,0.884512329688677,0.369150802334597,0.997742262093176,0.368317356574832,0.00225773790682368,0.00195803309172243,0.998508580913641,0.0713628530229476,0.558827339269024,0.439901151844101,18.3542798497653,19.1176131830986,36.7085596995305,5230.54289492105,0.104800007210815,0.284782822155251,0.536623968657577,0.439901151844101,9373.83536946226,18747.6707389245,0.125276291491509,TRUE,0.142179193366723,0.00113114745172375,0.757305875427614,0.142179193366723,2.71438768143096,0.00028957065858803,4.72439163332958,2,0.000111725575388915,0.000103764112678726,0.000414084297296532,0.000103764112678726,18.3542798497653,"Wenk",0.00203665987780041,314.528363025552,85.3448269647484,0,530.489429495476,120,634.809767998622,228600.5,115541.990569411,972,5238.35547826246,10476.7109565249,65831.4662276369,178889.975658226,423259.1,263116.795080699,0.5875,0.2
"Waratah2011","BAER","BAER_101","end",1.4,0,0,0,0,1307.18610731694,1307.18610731694,0,0,1.37652946717336,3.12666666666667,2.22,0,0,0,0,24.0645,0,0,0,1838.61068688557,100,1723.00193964068,1191.57736007205,56.8319885566957,0,1191.57736007205,0.648085735915345,110,531.424579568629,3.80733104347051,0.906666666666666,285,185,0,71.1033386327504,14.2713500760547,1307.18610731694,115.608747244888,1191.57736007205,115.608747244888,0.4943565625,1490.8,299.222639927946,40,0.0209666666666667,54,54,0,FALSE,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.7426,0.648085735915345,0.386363636363636,0.710964053804772,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.911559075943532,0,0,0,0,0,0,0.710964053804772,0.911559075943532,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wenk",0,205.41824138907,151.41824138907,0,88,185,7.67808735195849,831.2,299.77542043137,0,0,0,1191.57736007205,1723.00193964068,2322,598.998060359316,0.5875,0
"Waratah2011","BAER","BAER_102","end",1.4,0,0,0,0,346.887455456695,346.887455456695,0,0,1.37652946717336,2.40333333333333,1,0,0,0,0,24.0645,0,0,0,558.640437792092,60,495.34008144565,283.587099110253,13.52561680971,0,283.587099110253,0.507637972344198,62,211.752982335397,3.75107035503247,1.40333333333333,128,68,0,16.9220985691574,3.39648175944741,346.887455456695,63.3003563464421,283.587099110253,63.3003563464421,0.4943565625,354.8,71.2129008897473,40,0.0209666666666667,2,2,0,FALSE,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.7426,0.507637972344198,0.888888888888889,0.620949419321834,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.817519038666002,0,0,0,0,0,0,0.620949419321834,0.817519038666002,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wenk",0,52.5428250808541,50.5428250808541,0,18,68,4.53646851842992,228.3,16.5470176646029,0,0,0,283.587099110253,495.34008144565,583.1,87.7599185543503,0.5875,0
"Waratah2011","BAER","BAER_103","end",1.4,0,0,0,0,606.088110568471,606.088110568471,0,0,1.37652946717336,2.19,1.32,0,0,0,0,24.0645,0,0,0,772.910158344843,127,710.816917151902,543.99486937553,25.9457012420761,0,543.99486937553,0.703826781809251,124,166.822047776372,2.39837037156679,0.87,217,90,0,32.4610492845787,6.51534804250255,606.088110568471,62.093241192941,543.99486937553,62.093241192941,0.4943565625,680.6,136.60513062447,40,0.0209666666666667,12,12,0,FALSE,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.7426,0.703826781809251,0.454545454545455,0.784163727212985,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.897550801426047,0,0,0,0,0,0,0.784163727212985,0.897550801426047,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wenk",0,182.689653929497,170.689653929497,0,22,90,3.7668481314705,213.8,46.9779522236278,0,0,0,543.99486937553,710.816917151902,894.4,183.583082848098,0.5875,0
