weight,individual,species,part,Census,count
1374.54,BAER_404,BAER,bud_just_opening,17,558
2464.1,BAER_404,BAER,cone_green_01,17,1
145.4,BAER_404,BAER,cone_base_green_01,17,1
995.3866666666668,BAER_001,BAER,flower_stigma,16,1304
4467.504,BAER_001,BAER,flower_petals,16,1304
2939.6920634920634,BAER_001,BAER,flower_style,16,1304
4630,BAER_001,BAER,cone_green_01,16,1
6700,BAER_001,BAER,cone_green_02,16,1
327.58,BAER_001,BAER,cone_base_green_02,16,1
239.55773658957924,BAER_001,BAER,cone_base_green_01,16,1
4685.403153526971,BAER_001,BAER,bud_just_opening,17,982
4343.429999999999,BAER_002,BAER,bud_just_opening,17,962
4330,BAER_002,BAER,cone_green_02,17,1
221.46,BAER_002,BAER,cone_base_green_02,17,1
144.64091662859497,BAER_003,BAER,cone_aborted,13,3
63.6570700787306,BAER_004,BAER,cone_aborted,13,1
505.3266666666667,BAER_004,BAER,flower_stigma,17,662
2268.012,BAER_004,BAER,flower_petals,17,662
1492.3896825396826,BAER_004,BAER,flower_style,17,662
3480.7,BAER_004,BAER,cone_green_02,17,1
217.62,BAER_004,BAER,cone_base_green_02,17,1
828.9800000000001,BAER_005,BAER,flower_stigma,2,1086
3720.636,BAER_005,BAER,flower_petals,2,1086
2448.2404761904763,BAER_005,BAER,flower_style,2,1086
6790,BAER_005,BAER,cone_brown_no_expanded_follicles,8,1
203.83043836937014,BAER_005,BAER,cone_base_brown,8,1
883.94,BAER_005,BAER,flower_stigma,16,1158
3967.308,BAER_005,BAER,flower_petals,16,1158
2610.554761904762,BAER_005,BAER,flower_style,16,1158
3571.961652892562,BAER_005,BAER,bud_big,17,1014
9332.636016597511,BAER_005,BAER,bud_just_opening,17,1956
1737.3466666666668,BAER_005,BAER,flower_stigma,17,2276
7797.576,BAER_005,BAER,flower_petals,17,2276
5130.934920634921,BAER_005,BAER,flower_style,17,2276
32600,BAER_005,BAER,cone_green_03,17,6
1736.96,BAER_005,BAER,cone_base_green_02,17,6
6059.55,BAER_006,BAER,bud_just_opening,16,1044
5490,BAER_006,BAER,cone_green_03,16,1
296.5,BAER_006,BAER,cone_base_green_03,16,1
741.96,BAER_007,BAER,flower_stigma,1,972
3364.3320000000003,BAER_007,BAER,flower_petals,1,982
2213.786507936508,BAER_007,BAER,flower_style,1,982
38.68,BAER_007,BAER,finished_flower_stigma,3,8
38.23522636619718,BAER_007,BAER,seed,5,2
1017.4,BAER_007,BAER,seed_pod,5,2
10200,BAER_007,BAER,cone_brown,5,1
553.96,BAER_007,BAER,cone_base_brown,5,1
515.6599345430899,BAER_007,BAER,cone_aborted,14,1
63.6570700787306,BAER_007,BAER,cone_aborted,15,1
6812.794710743802,BAER_801,BAER,bud_big,16,1934
13630,BAER_801,BAER,cone_green_03,16,1
808.34,BAER_801,BAER,cone_base_green_03,16,1
1465.6000000000001,BAER_803,BAER,flower_stigma,2,1920
6666.996,BAER_803,BAER,flower_petals,2,1946
4386.9944444444445,BAER_803,BAER,flower_style,2,1946
4264,BAER_803,BAER,cone_brown_no_expanded_follicles,7,1
49150,BAER_803,BAER,cone_brown,7,1
849.293493205709,BAER_803,BAER,cone_base_brown,7,2
497.0579427605634,BAER_803,BAER,seed,8,26
788.52747944,BAER_803,BAER,seed_pod,8,26
861.0400000000001,BAER_806,BAER,flower_stigma,2,1128
3864.5280000000002,BAER_806,BAER,flower_petals,2,1128
2542.9238095238097,BAER_806,BAER,flower_style,2,1128
6430,BAER_806,BAER,cone_brown_no_expanded_follicles,8,1
267.56,BAER_806,BAER,cone_base_brown,8,1
54.240343735723116,BAER_806,BAER,cone_aborted,13,1
2819.7533333333336,BAER_806,BAER,flower_stigma,17,3694
